rollout/ep_rew_mean,custom/current_screen,custom/max_height,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,train/clip_fraction,train/loss,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/value_loss,train/entropy_loss,train/explained_variance,train/n_updates,train/approx_kl
122.03200000000001,42,14818.0,0,2352,1024,6.04,1,,,,,,,,,,
120.96,42,15002.0,0,4670,2048,6.01,2,0.0810546875,10270.12109375,-0.02161729386425577,0.2,0.0001,22312.183349609375,-0.5617861285805702,-4.1484832763671875e-05,5,0.012602816
155.28,42,14802.0,0,7776,3072,5.87,3,0.027083333333333334,10311.4091796875,-0.0101926834632953,0.2,0.0001,20124.6015625,-0.5978473504384358,0.0003592371940612793,6,0.0047948607
137.296,42,14802.0,0,11444,4096,5.03,4,0.06640625,10380.3662109375,-0.007909269072115421,0.2,0.0001,19764.043212890625,-0.5836418345570564,0.0003482699394226074,7,0.012957714
175.2,42,14818.0,0,15638,5120,4.77,5,0.1076388888888889,10103.541015625,-0.011371598475509219,0.2,0.0001,21022.96657986111,-0.5055852267477248,0.0001264810562133789,8,0.0128874
124.40799999999999,42,14962.0,0,19697,6144,4.21,6,0.09618506493506493,10096.5498046875,-0.012889070200504034,0.2,0.0001,20286.960404829544,-0.4527864595512291,0.003363490104675293,13,0.016429674
166.16,42,14802.0,0,24014,7168,4.46,7,0.0615234375,10925.048828125,-0.018405992782209068,0.2,0.0001,21469.479223632814,-0.47993220537900927,1.996755599975586e-05,18,0.004871318
175.12,42,14802.0,0,28357,8192,4.31,8,0.086328125,10824.5322265625,-0.014480267648468725,0.2,0.0001,19756.3576171875,-0.4555125545710325,8.922815322875977e-05,23,0.01192071
169.952,42,14818.0,0,32636,9216,4.07,9,0.0759548611111111,9618.294921875,-0.01093274993925459,0.2,0.0001,19041.073133680555,-0.43255022664864856,0.0004576444625854492,26,0.021676198
170.672,42,14818.0,0,37058,10240,4.32,10,0.101953125,9462.6953125,-0.012358002457767725,0.2,0.0001,19131.372778320314,-0.4346714705228806,0.00011730194091796875,31,0.009915476
184.16,42,14818.0,0,41311,11264,4.37,11,0.0650390625,8685.9736328125,-0.01066066747007426,0.2,0.0001,18269.752807617188,-0.452190163359046,0.00014793872833251953,36,0.007855977
172.2,42,14818.0,0,45309,12288,4.23,12,0.055859375,8622.904296875,-0.009561603452311829,0.2,0.0001,17545.077270507812,-0.41367147006094457,0.0002206563949584961,41,0.007498607
184.08,42,15002.0,0,49554,13312,4.27,13,0.03125,8966.76171875,-0.004744898702483624,0.2,0.0001,17338.61171875,-0.41071547381579876,0.00010055303573608398,46,0.010727025
