time/iterations,time/fps,custom/current_screen,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,custom/max_height,time/time_elapsed,train/loss,train/clip_range,train/n_updates,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/value_loss
1,1,5,103.92564677,2048,15.3,1714.0,1488,,,,,,,,,,
2,1,5,72.81385007,4096,14.69,1754.0,3013,4815.09423828125,0.2,5,0.0001,-0.7182917825877666,5.218316800892353e-09,0.0003129243850708008,0.0,0.0,11009.017538452148
3,1,5,79.58517009,6144,15.25,1746.0,4438,5880.642578125,0.2,10,0.0001,-0.673964635655284,-5.7075521908700464e-08,0.008810818195343018,0.0,0.0,11392.546926879882
4,1,5,110.66693193,8192,19.68,1642.0,5869,4363.78662109375,0.2,12,0.0001,-0.6550695498784384,-0.007552768037255321,0.01337730884552002,0.015764698,0.046130952380952384,11520.350004650298
5,1,5,121.06257425000001,10240,19.75,1498.0,7304,4106.27001953125,0.2,15,0.0001,-0.6364261321167448,-0.005484378980055674,0.011878669261932373,0.01391448,0.03125,8892.18314190765
6,1,5,134.09303353,12288,19.39,1746.0,8765,4434.3466796875,0.2,17,0.0001,-0.6014398435751597,0.0005369448391277166,0.004782974720001221,0.013238254,0.027901785714285716,9339.955113002232
7,1,5,120.42657954,14336,17.05,1498.0,10254,5542.16015625,0.2,18,0.0001,-0.6097586345672608,-0.000530509389936924,0.004027605056762695,0.003286266,0.0175,9016.70765625
8,1,5,144.63375071000002,16384,21.04,1714.0,11722,4503.9794921875,0.2,20,0.0001,-0.5954187165607105,-0.006813587434589863,0.0029388070106506348,0.006608249,0.03238636363636364,9649.110387073864
9,1,5,130.26848784,18432,22.41,1754.0,13227,3605.879638671875,0.2,21,0.0001,-0.5877806395292282,0.0059761215234175324,0.0018655657768249512,0.0059615886,0.001953125,8304.710083007812
10,1,5,143.0468511,20480,19.9,1714.0,14697,3281.235107421875,0.2,22,0.0001,-0.6384120484193166,0.036879729091500245,0.0016162395477294922,0.022062004,0.024739583333333332,7451.4377848307295
11,1,5,156.15135311000003,22528,21.13,1746.0,16191,5791.65869140625,0.2,24,0.0001,-0.5916619456949688,-0.003379303396546415,0.0012100934982299805,0.009320863,0.02492559523809524,8839.338530040923
12,1,5,160.47987419000003,24576,21.37,1746.0,17650,2880.30615234375,0.2,26,0.0001,-0.5663043022155761,-0.005467616476946407,0.0011613965034484863,0.009939711,0.035069444444444445,8054.301019965278
13,1,5,167.17204187,26624,22.76,1754.0,19189,3699.9775390625,0.2,30,0.0001,-0.547160621845361,-0.005757044643314198,0.0009903311729431152,0.018233351,0.040877525252525256,7248.033489188762
