time/iterations,time/total_timesteps,time/fps,custom/max_height,custom/current_screen,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/policy_gradient_loss,train/clip_range,train/value_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/learning_rate,train/entropy_loss,train/n_updates,train/loss
1,1024,1,1498.0,5,-123.69268981,10.11,866,,,,,,,,,,
2,2048,1,1498.0,5,-125.54113376,9.57,1720,3.324239514768124e-08,0.2,19900.711840820313,0.0,0.0,0.0001507401466369629,0.0001,-0.7079810835421085,5,9679.818359375
3,3072,1,1746.0,5,-99.53143501999999,10.76,2557,-3.250897862017155e-08,0.2,19240.484338378905,0.0,0.0,0.02298837900161743,0.0001,-0.7167678326368332,10,9814.8330078125
4,4096,1,1746.0,5,-84.25258090999999,11.86,3343,-0.00623146748313537,0.2,18556.898903245194,0.03124414,0.06875,0.03817176818847656,0.0001,-0.7037186099932744,15,10863.787109375
5,5120,1,1746.0,5,-96.03334293,12.27,4135,-0.01079270577756688,0.2,16238.164001464844,0.017213214,0.090234375,0.06026989221572876,0.0001,-0.7442802913486958,20,8784.2666015625
6,6144,1,1714.0,5,-68.90181634000001,12.85,4902,-0.004572336179896807,0.2,16723.853240184293,0.0120287705,0.014823717948717948,0.07473671436309814,0.0001,-0.778769531311133,23,8080.04296875
7,7168,1,1642.0,5,-33.4626482,14.47,5639,-0.005600240946348224,0.2,14265.104551977041,0.033045873,0.03284438775510204,0.08341675996780396,0.0001,-0.755042707433506,27,8327.5908203125
8,8192,1,1754.0,5,-6.646844469999999,14.89,6375,-0.005304139155225876,0.2,13690.473232171475,0.019595256,0.04927884615384615,0.10161000490188599,0.0001,-0.7376849131706433,30,6628.75439453125
9,9216,1,1642.0,5,13.064077970000001,16.7,7074,-0.0065797842456959185,0.2,11317.942907714843,0.008451893,0.0541015625,0.12684082984924316,0.0001,-0.7425028577446937,35,6594.677734375
10,10240,1,1714.0,5,54.92579290999999,19.35,7774,-0.007187040761345997,0.2,10548.135095214844,0.00842442,0.044921875,0.10193002223968506,0.0001,-0.7314118094742298,40,5866.84375
11,11264,1,1498.0,5,53.80693068999999,17.35,8475,-0.0008821595693007112,0.2,9289.34896850586,0.005342234,0.034765625,0.10864442586898804,0.0001,-0.732745186984539,45,4476.0830078125
12,12288,1,1498.0,5,69.56913143999999,18.49,9176,-0.0073316966649144884,0.2,11092.237060546875,0.004272184,0.058984375,0.07484138011932373,0.0001,-0.7303993709385395,50,5618.734375
13,13312,1,1746.0,5,109.14577892000001,20.33,9870,-0.010905763373011723,0.2,8896.33634033203,0.010575411,0.0814453125,0.06596934795379639,0.0001,-0.7231355324387551,55,4415.85791015625
14,14336,1,1746.0,5,93.36671130999999,19.43,10572,4.9652671441435815e-05,0.2,8824.060510253907,0.0046221716,0.026953125,0.03244304656982422,0.0001,-0.6901491068303585,60,4823.04638671875
15,15360,1,1714.0,5,94.24734544,19.72,11280,-0.0024212514399550855,0.2,9312.152526855469,0.005281035,0.0263671875,0.006510138511657715,0.0001,-0.7015049755573273,61,4157.96875
16,16384,1,1746.0,5,87.32602563,17.71,12015,-0.009521891896222387,0.2,7863.367541897682,0.01026283,0.046875,0.008726716041564941,0.0001,-0.6821538921325437,65,5387.2236328125
17,17408,1,1586.0,5,75.49731087,17.44,12753,-0.01597058477345854,0.2,9851.681280517578,0.009613037,0.0578125,0.0074045658111572266,0.0001,-0.6562834911048412,70,4278.478515625
18,18432,1,1498.0,5,99.70890775000002,18.95,13483,-0.0026190388132818045,0.2,8306.96558227539,0.0026571502,0.01640625,0.01738208532333374,0.0001,-0.6810736306011677,75,4909.5927734375
19,19456,1,1586.0,5,122.36544203,19.54,14192,-0.007000824661347373,0.2,8296.127542429957,0.015471587,0.05980603448275862,0.01250368356704712,0.0001,-0.6845599536238045,79,3463.209228515625
20,20480,1,1754.0,5,123.7560591,19.9,14907,0.0013729333062656225,0.2,7280.107922363281,0.003917818,0.0173828125,0.015077829360961914,0.0001,-0.6771594047546386,84,4125.119140625
21,21504,1,1714.0,5,115.52219586999999,20.67,15612,-0.0036438803986779283,0.2,6339.410749162947,0.011549595,0.03459821428571429,0.005211174488067627,0.0001,-0.6888356379100254,85,3115.4375
22,22528,1,1714.0,5,96.02879303999998,18.07,16332,-0.003604943270329386,0.2,8274.218615722657,0.003967079,0.0298828125,0.0040302276611328125,0.0001,-0.6907959513366222,90,4167.46142578125
23,23552,1,1746.0,5,109.14219969999998,18.88,17023,-0.0016455957666039467,0.2,8063.6866455078125,0.004595692,0.024147727272727272,0.0074784159660339355,0.0001,-0.6977549561045386,93,3096.008544921875
24,24576,1,1746.0,5,137.07713548,21.46,17722,-0.0025445663613145766,0.2,6864.51515794837,0.010964969,0.010869565217391304,0.020971238613128662,0.0001,-0.6984327927879665,95,3177.05810546875
25,25600,1,1498.0,5,142.02086913000002,21.85,18430,-0.007117935217684135,0.2,5858.380505371094,0.00823881,0.09140625,0.018616139888763428,0.0001,-0.6991020172834397,100,3826.200927734375
26,26624,1,1642.0,5,145.14614681999998,21.71,19107,-0.005231947964057326,0.2,6145.3845703125,0.007238754,0.028125,0.0037627220153808594,0.0001,-0.6852873302996159,105,3376.00537109375
27,27648,1,1714.0,5,144.44359097999998,21.39,19802,-0.005377507716184482,0.2,5779.485382080078,0.011826187,0.0587890625,0.0030065178871154785,0.0001,-0.7020421959459782,110,2637.151611328125
