time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,custom/current_screen,custom/max_height,time/total_timesteps,time/time_elapsed,time/fps,train/entropy_loss,train/clip_range,train/n_updates,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/clip_fraction,train/approx_kl
1,22.466666666666665,151.13270377777778,5,1714.0,1024,707,1,,,,,,,,,,
2,21.09375,138.24124497916668,5,1746.0,2048,1405,1,-0.7090767316520215,0.2,117,0.0001,5070.1615539550785,-3.961322363466024e-08,0.0017186999320983887,2570.024169921875,0.0,0.0
3,20.66,125.44589948,5,1746.0,3072,2114,1,-0.7119910031557083,0.2,122,0.0001,5540.353442382812,-5.4744305089116096e-08,0.0016772747039794922,2860.32421875,0.0,0.0
4,21.42,138.21702933,5,1746.0,4096,2830,1,-0.6942944514254729,0.2,125,0.0001,4925.322296142578,-0.0031336671478735902,0.001131892204284668,1869.2740478515625,0.057291666666666664,0.009160269
5,19.9,133.36688876,5,1754.0,5120,3549,1,-0.6458450190722942,0.2,130,0.0001,5041.796817016601,-0.007748318661469966,0.0012754201889038086,1849.2421875,0.08671875,0.008082305
6,20.07,129.49766598,5,1714.0,6144,4241,1,-0.6721473491710165,0.2,132,0.0001,5869.161238960598,0.00042015757492702943,0.0008966326713562012,2752.569091796875,0.021059782608695652,0.014210401
7,20.77,141.14994043000002,5,1714.0,7168,4938,1,-0.6587213195860386,0.2,137,0.0001,4853.084149169922,-0.005501715128775686,0.0007808208465576172,2144.14501953125,0.0443359375,0.005042347
8,19.99,134.82770029,5,1714.0,8192,5667,1,-0.6674796612031998,0.2,139,0.0001,5006.336291897682,-0.0035315449349582195,0.0008948445320129395,1994.9022216796875,0.038306451612903226,0.011419817
9,19.94,135.04230537,5,1746.0,9216,6385,1,-0.66610262170434,0.2,140,0.0001,5336.476058959961,-0.001495152770075947,0.0007070302963256836,2403.85107421875,0.0390625,0.006005775
10,19.5,138.61731053,5,1714.0,10240,7127,1,-0.6355400284131368,0.2,141,0.0001,5845.630452473958,0.0025758594895402592,0.000608980655670166,2699.86474609375,0.0375,0.0063497634
11,19.15,136.60500433,5,1754.0,11264,7860,1,-0.6448919638991356,0.2,146,0.0001,5287.572262573242,-0.003115908708423376,0.000817716121673584,2320.479248046875,0.027734375,0.0054901945
12,20.27,146.27055124000003,5,1498.0,12288,8571,1,-0.6589287858117711,0.2,149,0.0001,5095.5537442294035,0.0008698834677819501,0.0007457137107849121,3593.51318359375,0.037642045454545456,0.013813227
13,21.37,160.05837043000002,5,1746.0,13312,9287,1,-0.6875209490458171,0.2,150,0.0001,4920.483544921875,-0.0004161996766924858,0.0006020069122314453,2292.192138671875,0.005208333333333333,0.0034153906
14,22.69,164.50927122000002,5,1746.0,14336,10002,1,-0.676477700471878,0.2,154,0.0001,4318.971401367187,-0.00619340892881155,0.0005361437797546387,1758.271240234375,0.0565625,0.031792335
15,22.95,163.98382825000002,5,1746.0,15360,10709,1,-0.6597867481410503,0.2,159,0.0001,4215.836349487305,-0.010555634670890868,0.0005504488945007324,2364.5498046875,0.062890625,0.007658804
16,22.63,150.01329794,5,1498.0,16384,11416,1,-0.6708999186754226,0.2,164,0.0001,4494.793792724609,-0.0015803081914782524,0.0004508495330810547,2097.093994140625,0.026171875,0.0047754757
17,22.86,150.37676635000003,5,1498.0,17408,12118,1,-0.6823605326935649,0.2,168,0.0001,5145.9118576049805,-0.003760889609111473,0.0002846717834472656,1903.1610107421875,0.057861328125,0.020220593
18,21.71,142.04895068000005,5,1642.0,18432,12830,1,-0.6881809477743349,0.2,173,0.0001,4436.6935392680925,-0.0064628159161657095,0.0005210041999816895,2345.38720703125,0.08264802631578948,0.014592192
19,22.43,147.68043324,5,1642.0,19456,13536,1,-0.6741166392962138,0.2,178,0.0001,4386.363489583333,-0.006294494469960531,0.00032198429107666016,2062.772705078125,0.036875,0.012242833
20,22.97,152.81350542999996,5,1746.0,20480,14228,1,-0.6895007384674889,0.2,180,0.0001,3889.092450823103,-8.61669291875192e-05,0.00026226043701171875,3117.575439453125,0.030691964285714284,0.01054595
21,24.35,198.06081697,5,1746.0,21504,14930,1,-0.656744909286499,0.2,185,0.0001,3226.1440002441404,-0.004972057676059194,0.00033718347549438477,2055.31640625,0.028125,0.008298565
22,23.49,189.90388343000004,5,1498.0,22528,15642,1,-0.6198152214288711,0.2,190,0.0001,2645.7590560913086,-0.005455008731223643,0.0003470778465270996,1708.9730224609375,0.0306640625,0.006322843
23,23.74,182.08865602000003,5,1498.0,23552,16350,1,-0.6268303195635477,0.2,194,0.0001,3704.080662147672,0.0012532998716422155,0.00022721290588378906,1942.57861328125,0.04013480392156863,0.015510465
24,24.49,163.92357228,5,1714.0,24576,17049,1,-0.6686727367341518,0.2,195,0.0001,3667.243408203125,0.008453170885331929,0.00011301040649414062,2205.81884765625,0.025390625,0.010717517
25,25.33,163.05137390000002,5,1746.0,25600,17758,1,-0.6808189341896459,0.2,197,0.0001,4090.7560649671054,-0.0003593382915776027,5.0902366638183594e-05,2561.0537109375,0.03453947368421053,0.028514301
26,23.5,159.92828517,5,1714.0,26624,18478,1,-0.7037763251708105,0.2,199,0.0001,3430.241685133714,0.004573019722906442,0.00014579296112060547,2270.995849609375,0.038461538461538464,0.014315429
27,22.92,161.57128681,5,1746.0,27648,19194,1,-0.7010097908973694,0.2,201,0.0001,3896.9035986328126,-0.0012564340233802795,0.0001963973045349121,2149.81494140625,0.040625,0.013154863
28,22.88,169.77200635,5,1746.0,28672,19922,1,-0.7378548085689545,0.2,203,0.0001,3256.7802124023438,0.002381987668658522,0.00014209747314453125,1571.3392333984375,0.041193181818181816,0.014160734
29,22.0,155.99272440000001,5,1746.0,29696,20647,1,-0.7490122578513454,0.2,208,0.0001,2889.617273465009,-0.006755305716479329,0.0002765655517578125,1025.427978515625,0.05985915492957746,0.015801257
