time/iterations,custom/current_screen,time/time_elapsed,rollout/ep_len_mean,time/fps,custom/max_height,time/total_timesteps,rollout/ep_rew_mean,train/approx_kl,train/value_loss,train/learning_rate,train/clip_fraction,train/loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/n_updates
1,6,775,11.689655172413794,1,1978.0,1024,1.8687577816091943,,,,,,,,,,
2,6,1565,11.95,1,1946.0,2048,-1.4791960800000001,0.0,14514.21240234375,0.0001,0.0,6245.94482421875,0.2,0.0006020665168762207,-4.168250598013401e-08,-0.8850786462426186,5
3,6,2344,12.78,1,1842.0,3072,18.51318016,0.0,14492.343872070312,0.0001,0.0,6891.08984375,0.2,0.010094106197357178,5.110632628202438e-09,-0.8832719720900059,10
4,6,3111,12.74,1,1978.0,4096,14.83158396,0.008380335,14241.534423828125,0.0001,0.046223958333333336,7132.279296875,0.2,0.01915949583053589,-0.0008846978889778256,-0.8622987940907478,12
5,6,3878,14.0,1,1978.0,5120,46.450693919999985,0.007985838,14038.602404785157,0.0001,0.0861328125,6913.94970703125,0.2,0.017651081085205078,-0.015099441364873201,-0.8636446394026279,17
6,6,4662,13.72,1,1842.0,6144,71.74397021,0.00829119,14228.905981445312,0.0001,0.0427734375,6972.685546875,0.2,0.027526497840881348,-0.007899715093662963,-0.8488309971988202,22
7,6,5428,14.25,1,1842.0,7168,80.02707484,0.016913978,14241.555480957031,0.0001,0.124609375,6615.5634765625,0.2,0.006139099597930908,-0.012675173149909824,-0.7865414626896381,27
8,6,6203,14.09,1,1978.0,8192,97.33983602999999,0.010676007,13462.770649157072,0.0001,0.09847861842105263,6103.33837890625,0.2,0.003041207790374756,-0.008163985306102978,-0.7872378379106522,32
9,6,6954,15.1,1,1946.0,9216,113.47366526,0.010133831,13834.093872070312,0.0001,0.0673828125,7283.77734375,0.2,0.0011752843856811523,-0.00537084968527779,-0.78534284979105,33
10,6,7714,15.94,1,1842.0,10240,136.73982034,0.005598119,12707.805139160157,0.0001,0.0798828125,6379.2109375,0.2,0.0010141730308532715,-0.009098288207314908,-0.7669021233916282,38
11,6,8473,15.78,1,1946.0,11264,141.77634913999998,0.004277685,13339.983138020832,0.0001,0.029166666666666667,6661.1337890625,0.2,0.0003820061683654785,0.0035533841078480084,-0.7466451565424601,39
12,6,9248,16.87,1,1842.0,12288,174.8605514,0.008607512,13232.502233886718,0.0001,0.0630859375,6645.333984375,0.2,0.00024890899658203125,-0.008144161873497069,-0.7072082616388797,44
13,6,10033,16.84,1,1978.0,13312,178.94676937,0.014770568,12383.799972098213,0.0001,0.025892857142857145,6052.642578125,0.2,0.0002741217613220215,-0.0009958162271816815,-0.7044520548411778,47
