time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,custom/current_screen,custom/max_height,time/fps,rollout/ep_rew_mean,train/loss,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/value_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/learning_rate
2048,18.62,1,1455,7,2402.0,1,67.21900328000001,,,,,,,,,,
4096,19.23,2,2933,7,2402.0,1,71.89511519,6370.734375,0.021667838096618652,0.006566826931454919,-0.8780117956074801,0.2,12694.760298295454,17,0.00743512,0.03835227272727273,0.0001
6144,18.23,3,4424,7,2306.0,1,49.0534699,5875.09130859375,0.019092202186584473,0.0007870077000310024,-0.9154340326786041,0.2,12707.259358723959,18,0.008293628,0.052083333333333336,0.0001
8192,17.05,4,5946,7,2306.0,1,36.827399729999996,7884.111328125,0.011431455612182617,0.0025831924408282105,-0.9470226137261641,0.2,12767.78263774671,19,0.007668807,0.05263157894736842,0.0001
10240,16.85,5,7440,7,2306.0,1,45.62204486,7208.28857421875,0.018934428691864014,0.00019777511867384115,-0.9473932683467865,0.2,12981.987630208334,20,0.008509272,0.036458333333333336,0.0001
12288,17.7,6,8935,7,2402.0,1,38.64677701,6742.2255859375,0.018114984035491943,0.006237160395054768,-0.9408372044563293,0.2,11799.769287109375,21,0.014198679,0.052083333333333336,0.0001
14336,18.59,7,10448,7,2202.0,1,78.51961422000001,7031.0205078125,0.017246484756469727,0.004111140802064363,-0.9424992764697355,0.2,12746.110064338236,22,0.009107031,0.0661764705882353,0.0001
16384,17.94,8,11941,7,2202.0,1,80.78786267,6519.8330078125,0.019423067569732666,0.0009820004925131798,-0.8715900438172477,0.2,12674.252511160714,23,0.0040550465,0.023065476190476192,0.0001
18432,19.74,9,13431,7,2402.0,1,99.75810495000002,5889.50048828125,0.024315237998962402,-0.004061270698779419,-0.8544572076100981,0.2,11900.914194171348,26,0.011076658,0.08356741573033707,0.0001
20480,18.13,10,14952,7,2402.0,1,71.4326236,5807.2265625,0.030764400959014893,0.0031077810139818625,-0.8232291124083779,0.2,11526.658558238636,27,0.005714175,0.008522727272727272,0.0001
22528,19.74,11,16448,7,2402.0,1,89.75264013000002,6781.685546875,0.02713066339492798,-0.0032953848218312486,-0.8394988749176264,0.2,12355.959747314453,32,0.008741966,0.09345703125,0.0001
24576,20.4,12,17947,7,2202.0,1,107.18742030999998,6348.544921875,0.024309158325195312,-0.00025971656715547716,-0.8646653568422472,0.2,12063.165091849662,34,0.07485972,0.044763513513513514,0.0001
26624,20.28,13,19440,7,2402.0,1,108.65135101,5730.51025390625,0.027378976345062256,-0.001607302588243515,-0.8625648602461203,0.2,11441.583107972756,36,0.008561533,0.035256410256410256,0.0001
28672,18.63,14,20967,7,2202.0,1,88.02147641999998,5957.9970703125,0.030199944972991943,0.0004377267589526517,-0.8511167628424509,0.2,11067.156222098214,38,0.01832737,0.02142857142857143,0.0001
30720,19.99,15,22473,7,2202.0,1,103.47936205000002,5471.08203125,0.023849666118621826,0.002026875296400653,-0.8416229354010688,0.2,12394.002669270832,40,0.012863817,0.041666666666666664,0.0001
32768,21.43,16,23958,7,2306.0,1,116.83012577999997,5581.38330078125,0.035781025886535645,0.004932823590934277,-0.8181972297338339,0.2,12011.30108173077,41,0.00491648,0.049879807692307696,0.0001
34816,20.61,17,25475,7,2202.0,1,117.25682400000001,6124.79833984375,0.021900177001953125,-0.0060011310502886776,-0.8147616863250733,0.2,11666.496484375,42,0.0076989285,0.03125,0.0001
36864,20.1,18,27018,7,2278.0,1,91.61522577,5090.267578125,0.021674275398254395,-0.0012397005859958498,-0.8451548187356246,0.2,11517.839638157895,43,0.004143122,0.024671052631578948,0.0001
38912,18.68,19,28532,7,2306.0,1,60.60688802000001,5582.7744140625,0.0233953595161438,-0.000315488711225264,-0.8678071661428972,0.2,12394.317353219696,45,0.051736757,0.0928030303030303,0.0001
40960,22.53,20,30005,7,2306.0,1,145.20526028,6431.73828125,0.03648960590362549,0.01001917221583426,-0.8937973141670227,0.2,12419.77216796875,46,0.0046790508,0.028125,0.0001
43008,19.19,21,31544,7,2322.0,1,83.02672159,5445.35888671875,0.025315284729003906,-0.0014979303610743954,-0.8235793460160494,0.2,10180.19012145996,51,0.007848257,0.062890625,0.0001
45056,20.92,22,33015,7,2306.0,1,116.92083716,5182.84130859375,0.03882491588592529,0.01624440840844597,-0.8403214812278748,0.2,12154.4703125,53,0.035058934,0.027232142857142858,0.0001
47104,21.7,23,34487,7,2482.0,1,110.75221605,5239.5498046875,0.05506730079650879,0.0025902273348317696,-0.8195460117780246,0.2,10529.423677884615,54,0.008981322,0.025240384615384616,0.0001
49152,20.43,24,36020,7,2482.0,1,98.69335406999998,5453.89794921875,0.03403151035308838,0.008192861202831676,-0.8542790311138805,0.2,10529.532607660061,56,0.018995583,0.056402439024390245,0.0001
51200,20.72,25,37517,7,2482.0,1,81.36503224,7285.6748046875,0.02895432710647583,-0.0026866197162731128,-0.8410316163843329,0.2,11679.332297585228,57,0.0068079266,0.03977272727272727,0.0001
53248,19.73,26,39048,7,2402.0,1,94.63315755999999,4121.41796875,0.026725053787231445,0.003800015575413046,-0.8483544485322361,0.2,12103.01919450431,58,0.007944615,0.06573275862068965,0.0001
55296,19.94,27,40552,7,2306.0,1,94.08956697000002,5257.5947265625,0.02849215269088745,0.003300990221760003,-0.8379016108810902,0.2,11560.93081665039,60,0.007446189,0.05517578125,0.0001
57344,19.25,28,42068,7,2402.0,1,87.51189391000001,5286.9384765625,0.03455227613449097,-0.005240303317182942,-0.8463688775112754,0.2,11197.056383634868,61,0.005304155,0.03289473684210526,0.0001
59392,20.26,29,43570,7,2306.0,1,87.66834515999999,4172.40478515625,0.040679931640625,-0.0027155233459779994,-0.8325387142598629,0.2,11367.957241821288,66,0.0058047352,0.04140625,0.0001
61440,20.08,30,45058,7,2402.0,1,101.64613492000002,5665.173828125,0.04023122787475586,-0.002339891688181804,-0.8374605894088745,0.2,11346.198771784855,71,0.020180823,0.053125,0.0001
63488,20.48,31,46554,7,2402.0,1,132.75337333,5636.103515625,0.06211167573928833,-0.004464939300870073,-0.824473367888352,0.2,10437.190217537716,76,0.0137609225,0.061745689655172416,0.0001
65536,21.58,32,48048,7,2402.0,1,142.04160215,5104.4677734375,0.06697964668273926,-0.0008609820564743131,-0.7987329345196486,0.2,9319.62069091797,81,0.0046476186,0.028515625,0.0001
67584,18.04,33,49626,7,2402.0,1,69.63634205,4256.08544921875,0.0378643274307251,-0.004116782896695721,-0.7832187102144996,0.2,8948.590427065856,86,0.012273655,0.05484479865771812,0.0001
