time/iterations,custom/max_height,time/fps,time/time_elapsed,custom/current_screen,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/value_loss,train/approx_kl,train/clip_fraction,train/loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/explained_variance,train/n_updates
1,2402.0,1,1481,7,120.0821612828283,2048,20.515151515151516,,,,,,,,,,
2,2202.0,1,2940,7,128.90429268,4096,21.71,9335.71330078125,0.0051464033,0.02625,5680.998046875,0.2,-0.0003421897254884243,0.0001,-0.7922444558143615,0.07894104719161987,94
3,2402.0,1,4381,7,116.1571468,6144,20.99,8948.287190755209,0.0051502814,0.033203125,5699.6630859375,0.2,-0.0019385043318228175,0.0001,-0.7786750470598539,0.07128745317459106,95
4,2306.0,1,5825,7,127.29434853,8192,21.7,9087.4252734375,0.0071203113,0.0409375,5543.3330078125,0.2,-0.00016217166557908058,0.0001,-0.770250905752182,0.07929790019989014,97
5,2402.0,1,7293,7,93.11631156,10240,20.64,9239.115891676684,0.005310056,0.012620192307692308,5627.85498046875,0.2,0.00015162085541165792,0.0001,-0.7785195479026208,0.0870751142501831,98
6,2306.0,1,8752,7,73.01438556000001,12288,18.94,10448.615563217474,0.02931284,0.03762755102040816,6036.3095703125,0.2,0.0029910343071939995,0.0001,-0.7852423312712689,0.08706963062286377,102
7,2306.0,1,10182,7,105.14504756000001,14336,20.96,11119.113655598958,0.013301546,0.033854166666666664,6190.11767578125,0.2,0.02239593348155419,0.0001,-0.780332092444102,0.10109478235244751,103
8,2306.0,1,11655,7,150.01201437,16384,22.09,9447.526383463543,0.005356011,0.04583333333333333,5552.2705078125,0.2,-0.004195466730743646,0.0001,-0.7763992627461751,0.11250936985015869,104
9,2306.0,1,13137,7,140.19000248,18432,21.34,8438.170125325521,0.018852115,0.037760416666666664,4912.8291015625,0.2,-0.004780527256015275,0.0001,-0.7480121999979019,0.11006617546081543,106
10,2402.0,1,14675,7,132.79941166999998,20480,21.03,8374.061175847457,0.010037553,0.030587923728813558,3444.95947265625,0.2,-0.0011209630292950798,0.0001,-0.7591040654707764,0.09335166215896606,110
11,2402.0,1,16224,7,90.16699165000001,22528,18.84,9175.24721594024,0.010951378,0.035910087719298246,3819.01416015625,0.2,-0.001710321876759592,0.0001,-0.7516531871076215,0.04903215169906616,112
12,2482.0,1,17696,7,114.05365229999998,24576,21.07,11487.353274536134,0.005240434,0.042578125,5259.29638671875,0.2,-0.00032542042608838526,0.0001,-0.7865505993366242,0.0828394889831543,117
13,2202.0,1,19192,7,141.92041934,26624,20.65,9392.327978515625,0.006313099,0.0203125,7580.427734375,0.2,0.0032400455325841903,0.0001,-0.8066005527973175,0.10060584545135498,118
14,2202.0,1,20725,7,89.65817589000002,28672,18.6,8015.526812841022,0.005771721,0.035590277777777776,3152.125244140625,0.2,0.0026681822417895236,0.0001,-0.7483718371580518,0.11126333475112915,122
15,2402.0,1,22234,7,101.89955988,30720,17.98,11048.764849853516,0.009374731,0.050390625,5157.44873046875,0.2,-0.002122367639094591,0.0001,-0.7827187672257423,0.08974337577819824,127
