time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,custom/max_height,time/iterations,custom/current_screen,train/entropy_loss,train/value_loss,train/n_updates,train/clip_range,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/loss,train/clip_fraction
1,1420,2048,16.45,-90.08593089999998,2402.0,1,7,,,,,,,,,,
1,2826,4096,16.35,-105.69234,2202.0,2,7,-0.9767797076424887,11975.135867096657,90,0.2,0.0906686782836914,0.0074529303,0.0008485409929308781,0.0001,4754.34423828125,0.020530523255813952
1,4207,6144,16.26,-76.7693264,2402.0,3,7,-1.025397609580647,10011.320756392046,91,0.2,0.013447046279907227,0.008742083,0.007930793122134426,0.0001,4802.39208984375,0.03977272727272727
1,5647,8192,15.31,-100.6281709,2306.0,4,7,-1.0298229828476906,7958.314758300781,92,0.2,0.0089569091796875,0.009191353,0.012200518744066358,0.0001,4852.8173828125,0.05078125
1,7042,10240,16.48,-91.86566095,2402.0,5,7,-1.0249320149421692,12510.3947265625,93,0.2,0.014725565910339355,0.013102023,0.004857037402689457,0.0001,6869.04541015625,0.05
1,8410,12288,17.41,-90.71362544999998,2306.0,6,7,-0.9803022742271423,8755.461376953124,94,0.2,0.022031188011169434,0.0083714295,0.004461172223091126,0.0001,3323.488525390625,0.0390625
1,9793,14336,16.89,-105.14593999999997,2202.0,7,7,-0.9915545463562012,8389.372998046874,95,0.2,0.018027961254119873,0.009356195,0.013086722418665885,0.0001,4759.05615234375,0.0390625
1,11188,16384,17.03,-92.59130735,2306.0,8,7,-1.0600678009145401,9140.964211856617,96,0.2,0.012978017330169678,0.010330379,0.004146439461585353,0.0001,4238.49658203125,0.04871323529411765
1,12604,18432,16.74,-91.35254544999998,2306.0,9,7,-1.0460801422595978,10457.901123046875,97,0.2,0.00489431619644165,0.012038798,0.002793388324789703,0.0001,5263.3681640625,0.046875
1,13913,20480,17.02,-116.63206,2322.0,10,7,-1.0890428473552067,8782.031426323785,99,0.2,0.0020726919174194336,0.015761849,0.002526011667214334,0.0001,4700.791015625,0.0959201388888889
1,15172,22528,18.0,-89.21712,2306.0,11,7,-1.1841484308242798,8107.384114583333,100,0.2,0.0023630261421203613,0.0064388085,-0.005804755414525668,0.0001,4517.38427734375,0.050347222222222224
1,16354,24576,17.13,-72.65478,2202.0,12,7,-1.2198419719934464,5216.91552734375,101,0.2,0.006339967250823975,0.008015674,0.0002272329875268042,0.0001,2047.7825927734375,0.052734375
1,17516,26624,17.36,-78.02892000000001,2306.0,13,7,-1.2613892078399658,3710.676025390625,102,0.2,0.007995843887329102,0.016367298,0.0032595228403806686,0.0001,1713.749755859375,0.09375
1,18646,28672,15.67,-54.364,2306.0,14,7,-1.2738483905792237,3233.3175048828125,103,0.2,0.003896653652191162,0.016193183,7.921364158391953e-06,0.0001,2116.932861328125,0.2578125
1,19777,30720,15.51,-53.50412,2306.0,15,7,-1.255497898374285,1791.5776890345983,104,0.2,-0.011597037315368652,0.008307056,-0.0025283354999763624,0.0001,562.9177856445312,0.03125
1,20928,32768,13.72,-51.122879999999995,2202.0,16,7,-1.229416310787201,1582.1672058105469,105,0.2,-0.02298271656036377,0.016260609,0.0022289366202635896,0.0001,826.5241088867188,0.1171875
