custom/max_height,time/total_timesteps,time/iterations,rollout/ep_len_mean,custom/current_screen,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/approx_kl,train/n_updates,train/value_loss,train/loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/clip_fraction
2738.0,2048,1,8.82,8,40.78789446,2399,0,,,,,,,,,,
2738.0,4096,2,9.08,8,96.29567396000002,4738,0,0.008076837,3,52981.96824596774,26813.892578125,0.2,-0.00014984607696533203,-0.006844497616252591,-0.6318669646017013,0.0001,0.05241935483870968
2610.0,6144,3,9.25,8,69.89185779,7133,0,0.01581983,5,58256.39416787791,27674.119140625,0.2,0.0004926919937133789,-0.0024771661129455234,-0.6302158361257508,0.0001,0.028706395348837208
2818.0,8192,4,9.11,8,126.84216299000002,9538,0,0.012995276,9,55385.52863507231,29618.912109375,0.2,0.0009716153144836426,-0.009187706553738965,-0.6618096404824375,0.0001,0.06301652892561983
2818.0,10240,5,9.09,8,151.33240145,11966,0,0.00402404,10,60127.85409007353,25774.6640625,0.2,0.0016804337501525879,0.0013823022189385751,-0.6311170599039864,0.0001,0.011029411764705883
2770.0,12288,6,9.46,8,164.49289383000004,14301,0,0.006877741,12,60675.29584316038,28990.5859375,0.2,0.0019289255142211914,0.00013179219556304643,-0.6352433865925051,0.0001,0.033608490566037735
2610.0,14336,7,9.76,8,180.35991214999996,16670,0,0.0118785715,15,63647.679635416665,31895.005859375,0.2,0.0011591315269470215,-0.006738949107627074,-0.6495764946937561,0.0001,0.042916666666666665
2698.0,16384,8,9.99,8,207.15437864,19003,0,0.007911245,16,62863.66015625,27120.1796875,0.2,0.0008774399757385254,0.0072319662301904624,-0.6650889582104154,0.0001,0.022569444444444444
2738.0,18432,9,10.31,8,208.71856737000002,21370,0,0.011227645,18,61858.489795918365,32178.193359375,0.2,0.0004265904426574707,-8.806156716784652e-05,-0.671898040236259,0.0001,0.029336734693877552
2698.0,20480,10,10.28,8,230.04663562,23764,0,0.007811282,23,60624.3622575431,31662.0234375,0.2,0.0004936456680297852,-0.0009342359089902762,-0.6959250552900906,0.0001,0.05646551724137931
2698.0,22528,11,10.28,8,205.26321402999994,26275,0,0.004074973,24,61842.61120605469,32016.37890625,0.2,0.0002200603485107422,0.003195165394572541,-0.703608026728034,0.0001,0.02001953125
2818.0,24576,12,9.66,8,142.38540274000002,28575,0,0.010571069,28,58789.463179976854,28973.373046875,0.2,0.0002754330635070801,-0.00022236241407140537,-0.7097705459153211,0.0001,0.03226273148148148
2610.0,26624,13,10.84,8,220.53145186999998,30926,0,0.015079959,29,53565.328125,27541.83984375,0.2,-5.4717063903808594e-05,0.0009491466917097569,-0.7197104394435883,0.0001,0.049479166666666664
2698.0,28672,14,10.55,8,229.22417713,33237,0,0.004988163,30,57671.034696691175,29631.583984375,0.2,3.0875205993652344e-05,0.0024647355517920327,-0.7256966338438147,0.0001,0.022058823529411766
2698.0,30720,15,10.14,8,226.54584379000005,35608,0,0.025424078,34,57787.035546875,28243.95703125,0.2,0.00015467405319213867,-0.002605982618406415,-0.7374372547864914,0.0001,0.04203125
2770.0,32768,16,10.61,8,205.25428933,38011,0,0.0077060605,39,57221.852294921875,27693.916015625,0.2,7.051229476928711e-05,-0.0038551151752471923,-0.7542969390749932,0.0001,0.0705078125
2610.0,34816,17,10.96,8,278.09055436,40529,0,0.006902605,44,57590.87472873264,29346.630859375,0.2,6.973743438720703e-05,-0.005928053404204547,-0.7483744956552982,0.0001,0.059895833333333336
