time/iterations,time/time_elapsed,rollout/ep_rew_mean,custom/max_height,rollout/ep_len_mean,time/total_timesteps,custom/current_screen,time/fps,train/clip_fraction,train/approx_kl,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/loss,train/learning_rate,train/value_loss,train/clip_range,train/explained_variance
1,2243,106.43178949000003,2698.0,9.97,2048,8,0,,,,,,,,,,
2,4493,129.64639555000002,2770.0,10.19,4096,8,0,0.043229166666666666,0.009259679,-0.4093726370069716,3,-0.011144783704852064,13521.0302734375,0.0001,25807.953211805554,0.2,0.0016774535179138184
3,6649,183.60977014999992,2818.0,10.66,6144,8,0,0.0619140625,0.0073322933,-0.39717129394412043,8,-0.0112431739049498,10661.44140625,0.0001,24866.963500976562,0.2,0.004647791385650635
4,8835,179.09267057999998,2770.0,10.74,8192,8,0,0.04443359375,0.0058651306,-0.37684873715043066,13,-0.007022087003861088,11138.080078125,0.0001,20758.692224121092,0.2,0.002321183681488037
5,10989,174.92475566999997,2738.0,10.75,10240,8,0,0.0486328125,0.006287208,-0.3885241510346532,18,-0.008426957184565254,11046.720703125,0.0001,21203.36799316406,0.2,0.000555574893951416
6,13090,170.15469908999995,2810.0,10.97,12288,8,0,0.03515625,0.004454829,-0.4090000595897436,23,-0.005678065560641698,10091.2255859375,0.0001,19671.56060180664,0.2,0.0002461671829223633
7,15187,179.25783923999995,2698.0,11.01,14336,8,0,0.07880859375,0.0084528485,-0.4158905135467649,28,-0.010275889435433783,8879.306640625,0.0001,18390.84487915039,0.2,0.00017565488815307617
8,17267,188.18891234999995,2818.0,11.26,16384,8,0,0.0513671875,0.005143689,-0.43423834815621376,33,-0.007265261825523339,8617.0224609375,0.0001,17668.646240234375,0.2,0.00014418363571166992
9,19325,189.22984741,2698.0,11.11,18432,8,0,0.0486328125,0.0062540416,-0.4183245744556189,38,-0.005712792040139902,8034.92724609375,0.0001,15741.116021728516,0.2,0.00013011693954467773
10,21338,210.52713278999997,2698.0,11.6,20480,8,0,0.042578125,0.0073995376,-0.4249898748472333,43,-0.004836691415403038,6241.87060546875,0.0001,14581.65479736328,0.2,6.443262100219727e-05
11,23416,192.94511279999998,2818.0,11.18,22528,8,0,0.07373046875,0.0055152196,-0.42227195892482994,48,-0.006098549417220056,6531.525390625,0.0001,12922.747009277344,0.2,6.639957427978516e-05
12,25495,201.55892431999993,2698.0,11.35,24576,8,0,0.05107421875,0.005693424,-0.39091902282088997,53,-0.005339446995640174,7454.650390625,0.0001,14162.460766601562,0.2,4.017353057861328e-05
13,27577,220.00256736,2810.0,11.22,26624,8,0,0.02275390625,0.0043471837,-0.3913060024380684,58,-0.0036376085481606424,6145.81982421875,0.0001,12800.31459350586,0.2,2.777576446533203e-05
14,29668,184.52900357000001,2698.0,10.87,28672,8,0,0.01953125,0.0044630617,-0.3699065323919058,63,-0.003111246452317573,5395.705078125,0.0001,11574.28671875,0.2,2.7954578399658203e-05
15,31732,219.87998994999998,2698.0,11.35,30720,8,0,0.0326171875,0.0041271667,-0.37600526977330445,68,-0.0053017897327663375,6683.15869140625,0.0001,12113.751025390626,0.2,2.3126602172851562e-05
16,33817,211.32590864999995,2818.0,10.99,32768,8,0,0.05068359375,0.004717233,-0.36441212967038156,73,-0.006729236146202311,4189.98193359375,0.0001,10199.685229492188,0.2,2.0205974578857422e-05
