time/iterations,time/total_timesteps,time/fps,custom/max_height,rollout/ep_len_mean,custom/current_screen,rollout/ep_rew_mean,time/time_elapsed,train/clip_range,train/n_updates,train/entropy_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/loss,train/clip_fraction
1,256,0,2698.0,10.25,8,186.89526020833333,272,,,,,,,,,,
2,512,0,2698.0,10.5625,8,158.060123125,546,0.2,5,-0.40106119215488434,0.0001,0.003337999,0.0002645254135131836,-0.011519873607903719,23938.49013671875,12006.1962890625,0.0234375
3,768,0,2818.0,10.76056338028169,8,153.734892028169,807,0.2,10,-0.4169677272439003,0.0001,0.003351945,0.001484215259552002,-0.008621853357180954,25396.1291015625,13807.3701171875,0.01484375
4,1024,0,2698.0,10.935483870967742,8,160.55540921505377,1065,0.2,15,-0.41916143894195557,0.0001,0.0018644389,0.00373232364654541,-0.005890468647703528,24104.732421875,10943.021484375,0.00703125
5,1280,0,2810.0,10.96,8,147.27242490999998,1334,0.2,20,-0.42505781117238495,0.0001,0.014723756,0.0073288679122924805,-0.009610873107847414,21741.54965049342,10527.6484375,0.054276315789473686
6,1536,0,2738.0,10.78,8,115.22615564,1631,0.2,25,-0.413240821659565,0.0001,0.0009673615,0.004753828048706055,-0.004721126519143581,22876.004296875,10772.447265625,0.00546875
7,1792,0,2738.0,10.58,8,106.22093835000001,1910,0.2,30,-0.4201029226183891,0.0001,0.0117477495,0.003491818904876709,-0.016001181676983833,30002.088671875,14834.37890625,0.08671875
8,2048,0,2770.0,10.38,8,88.43495899999998,2178,0.2,35,-0.44528794288635254,0.0001,0.0054593342,0.003012716770172119,-0.009442490944638848,26561.01513671875,13531.2890625,0.06171875
9,2304,0,2770.0,10.49,8,97.20800362000001,2443,0.2,40,-0.4348238930106163,0.0001,0.004223517,0.006691992282867432,-0.008913403749465943,23791.0275390625,11949.7119140625,0.02734375
10,2560,0,2698.0,10.93,8,142.58584444000002,2697,0.2,45,-0.4221199870109558,0.0001,0.0046957084,0.01139146089553833,-0.0067213087808340784,20955.04560546875,10404.783203125,0.0234375
11,2816,0,2610.0,11.0,8,147.12077285,2970,0.2,50,-0.4085350841283798,0.0001,0.0011425673,0.012148141860961914,-0.0047258870676159855,19755.49462890625,8718.4736328125,0.00390625
12,3072,0,2698.0,10.92,8,161.39950545000002,3239,0.2,55,-0.418526953458786,0.0001,0.005821893,0.002786993980407715,-0.00797220254316926,23918.21650390625,12684.7275390625,0.02421875
13,3328,0,2818.0,10.91,8,170.18567226,3511,0.2,60,-0.42924547046422956,0.0001,0.0030612673,0.002365410327911377,-0.008087519975379109,21977.78505859375,11577.3359375,0.0125
14,3584,0,2698.0,10.88,8,170.20886574999997,3764,0.2,65,-0.3925929799675941,0.0001,0.0030234768,0.003987252712249756,-0.008034807164222002,20851.5087890625,10275.0537109375,0.01328125
15,3840,0,2698.0,10.7,8,175.02843950999994,4038,0.2,70,-0.38481439352035524,0.0001,0.0015419303,0.006774961948394775,-0.003228056151419878,18374.899462890626,10065.9990234375,0.0078125
16,4096,0,2810.0,11.0,8,201.82528799000002,4295,0.2,75,-0.3924796462059021,0.0001,0.00091247866,0.0016611814498901367,-0.004856976587325335,20653.0912109375,10053.2373046875,0.00390625
17,4352,0,2698.0,10.96,8,206.47698295999996,4564,0.2,80,-0.37600370198488237,0.0001,0.001553529,0.004998207092285156,-0.004043810209259391,18115.1556640625,8802.59765625,0.0078125
18,4608,0,2770.0,10.84,8,197.33889436999993,4832,0.2,85,-0.3726600110530853,0.0001,0.000913335,0.0009580254554748535,-0.0033853329718112946,20627.683984375,10270.888671875,0.00625
19,4864,0,2770.0,10.92,8,193.17346779999997,5100,0.2,90,-0.3849126011133194,0.0001,0.0028760508,0.0016044378280639648,-0.009440203895792365,20244.791015625,10843.8427734375,0.0125
20,5120,0,2698.0,10.82,8,188.63948845,5364,0.2,95,-0.3928104043006897,0.0001,0.0018904549,0.0006313323974609375,-0.006193539593368769,20300.87919921875,11013.826171875,0.00703125
21,5376,0,2818.0,10.81,8,188.69852609999998,5630,0.2,100,-0.3736727088689804,0.0001,0.00061345473,0.001489102840423584,-0.004351582704111933,18664.99033203125,8739.916015625,0.0
22,5632,0,2698.0,10.95,8,193.21545583,5886,0.2,105,-0.3869052827358246,0.0001,0.0024024914,0.0008363723754882812,-0.007072031917050481,18550.0904296875,9241.26171875,0.009375
23,5888,0,2698.0,10.93,8,202.01181213000004,6158,0.2,110,-0.36984639763832095,0.0001,0.0024293493,0.0029103755950927734,-0.0033451659604907037,17373.314990234376,9383.333984375,0.0109375
24,6144,0,2698.0,11.08,8,206.51908485,6419,0.2,115,-0.3785325825214386,0.0001,0.0011104252,0.0005601048469543457,-0.00646753734908998,19451.9166015625,11155.4365234375,0.00234375
25,6400,0,2810.0,11.13,8,206.47457518000002,6674,0.2,120,-0.3692233979701996,0.0001,0.00047913333,0.002173483371734619,-0.0018993825651705265,17401.080908203126,8875.462890625,0.00234375
26,6656,0,2698.0,11.12,8,201.88749671000002,6937,0.2,125,-0.38442263603210447,0.0001,0.0018889087,0.000499725341796875,-0.005328738712705672,17792.56787109375,8929.541015625,0.009375
27,6912,0,2738.0,10.95,8,197.78933886,7214,0.2,130,-0.39535776525735855,0.0001,0.0034131454,0.00030934810638427734,-0.011530149634927512,19404.633203125,9503.828125,0.01328125
28,7168,0,2698.0,10.78,8,179.50115703999992,7489,0.2,135,-0.35429212301969526,0.0001,0.0012713212,0.0004303455352783203,-0.00323199478443712,19819.45576171875,11122.1162109375,0.00703125
29,7424,0,2770.0,10.53,8,180.0349187899999,7760,0.2,140,-0.37157689929008486,0.0001,0.00085020857,0.00043708086013793945,-0.005942119867540896,20949.77568359375,9519.6572265625,0.003125
30,7680,0,2738.0,10.32,8,175.87987404000003,8033,0.2,145,-0.34863498359918593,0.0001,0.0014681076,0.0006080865859985352,-0.007309115375392139,17728.7779296875,8777.0263671875,0.00234375
31,7936,0,2818.0,10.55,8,184.42688571,8298,0.2,150,-0.34694567769765855,0.0001,0.0009792529,0.0003708004951477051,-0.004750846978276968,19538.07978515625,9570.15625,0.003125
