time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,custom/max_height,time/fps,time/total_timesteps,custom/current_screen,time/iterations,train/learning_rate,train/entropy_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/loss,train/n_updates,train/clip_range,train/value_loss
1800,13.18,27.359555380000003,3034.0,1,2048,9,1,,,,,,,,,,
3569,13.48,38.34576184,3178.0,1,4096,9,2,0.0001,-1.023638700445493,0.009263137,0.061197916666666664,-0.0014750957489013672,-0.0028523741639219224,5852.86376953125,1,0.2,13347.895792643229
5377,13.79,51.68958127999999,3162.0,1,6144,9,3,0.0001,-1.0165936025706204,0.0087173395,0.03196022727272727,-0.003834366798400879,-0.008705422959544441,6711.06396484375,2,0.2,12927.041637073864
7107,15.76,92.87520666,3178.0,1,8192,9,4,0.0001,-0.9601197849821161,0.0105721885,0.04861111111111111,-0.005301952362060547,-0.005897331681033528,6450.47119140625,4,0.2,14409.700086805555
8786,14.78,90.51944182999999,3162.0,1,10240,9,5,0.0001,-0.9775349966117314,0.016801653,0.048214285714285716,-0.004835367202758789,-0.003555543600980725,6367.90478515625,7,0.2,12853.404073660715
10495,15.05,121.84527334,3178.0,1,12288,9,6,0.0001,-0.9460234008729458,0.008117704,0.0390625,0.0008796453475952148,-0.0011258331360295415,6737.01513671875,9,0.2,13676.936381022135
12227,14.2,84.47959015,3034.0,1,14336,9,7,0.0001,-0.9160325008889904,0.0070109,0.012907608695652174,-0.002088308334350586,0.006303069991586001,6539.287109375,10,0.2,13582.70163892663
13935,15.92,108.95733826999998,3034.0,1,16384,9,8,0.0001,-0.9272774249315262,0.010522358,0.0359375,0.0009860396385192871,0.013675170624628663,10046.916015625,11,0.2,15033.933544921874
15624,13.54,109.08322995,3034.0,1,18432,9,9,0.0001,-0.9276093131019956,0.007207652,0.026041666666666668,0.0019040107727050781,0.003272178095011484,8962.640625,12,0.2,13652.877418154761
17326,13.47,86.69052816999998,3034.0,1,20480,9,10,0.0001,-0.8838590234518051,0.007821053,0.01171875,0.0021747946739196777,0.0014718971215188503,8908.333984375,13,0.2,14313.929931640625
19052,13.46,96.57008748,2938.0,1,22528,9,11,0.0001,-0.8734692687338049,0.009232063,0.026278409090909092,0.0010499954223632812,0.003573031503368508,7552.419921875,14,0.2,14640.976518110796
20746,13.82,107.59694697,3178.0,1,24576,9,12,0.0001,-0.8884082640920367,0.021319658,0.030357142857142857,0.002969682216644287,-0.0029263932390936782,6067.08154296875,16,0.2,15843.073325892858
22426,14.41,98.12966785,3178.0,1,26624,9,13,0.0001,-0.8978660830429622,0.004769455,0.010044642857142858,0.0021175742149353027,0.007555462952171054,8077.55224609375,17,0.2,14557.806710379464
24125,15.14,104.67426558999999,3034.0,1,28672,9,14,0.0001,-0.9095457792282104,0.0054330947,0.023995535714285716,0.004261434078216553,0.002644770446100405,6195.25,18,0.2,13793.83530970982
25768,14.96,135.99063273,3034.0,1,30720,9,15,0.0001,-0.9054580458572933,0.010473092,0.027901785714285716,0.005212604999542236,-0.0020560630031728317,7375.22216796875,20,0.2,12537.191528320312
27453,14.68,133.22452707,3150.0,1,32768,9,16,0.0001,-0.870801662289819,0.005804953,0.014171511627906976,0.006218254566192627,-0.0014366106032718752,6167.474609375,22,0.2,12849.398778161338
29160,12.62,70.9206124,3146.0,1,34816,9,17,0.0001,-0.9014489278197289,0.009795633,0.044744318181818184,0.006925702095031738,-0.0035194761532528155,5116.37158203125,25,0.2,13008.342229669744
30834,15.76,115.94576672,3034.0,1,36864,9,18,0.0001,-0.9016705751419067,0.004403634,0.019097222222222224,0.003990530967712402,0.002550776633951399,5932.04638671875,26,0.2,14399.104166666666
32446,16.71,136.23658632999997,3162.0,1,38912,9,19,0.0001,-0.9243181318044662,0.008256043,0.028125,0.004928290843963623,-0.0009315725415945053,5556.47998046875,27,0.2,12193.38857421875
34117,14.99,123.25891626,3162.0,1,40960,9,20,0.0001,-0.9191401112410758,0.015302765,0.022569444444444444,0.01060473918914795,0.0009239310812618998,5401.23779296875,30,0.2,12980.653849283854
35756,17.2,137.44914578,3034.0,1,43008,9,21,0.0001,-0.8750793511668841,0.0037775645,0.015625,0.010319650173187256,0.0015107623767107725,5762.18798828125,31,0.2,11943.621175130209
37407,15.68,148.42983373,3034.0,1,45056,9,22,0.0001,-0.8914729686493569,0.012146207,0.06715425531914894,0.009132981300354004,-0.0022034226447766553,4214.75732421875,36,0.2,11023.242384890293
39060,16.41,158.03096058,3146.0,1,47104,9,23,0.0001,-0.8831849316559216,0.013885418,0.05847772277227723,0.01857203245162964,-0.005227891603798264,5688.74951171875,40,0.2,10819.534933864481
40757,15.14,115.56146940999997,3162.0,1,49152,9,24,0.0001,-0.8761065377379363,0.005326164,0.02329009433962264,0.013313531875610352,-0.0014398879424299834,7190.85693359375,42,0.2,11142.493707620873
42395,15.66,145.08484764,3162.0,1,51200,9,25,0.0001,-0.8794761747121811,0.0035640069,0.01328125,0.014173686504364014,0.00565910516306758,6507.59228515625,43,0.2,11097.698388671875
44043,17.88,155.15224458,3162.0,1,53248,9,26,0.0001,-0.8573405389432553,0.0062493044,0.017361111111111112,0.01959240436553955,0.011733352758542256,5698.64404296875,44,0.2,11580.325231481482
45689,16.73,148.41572449,3082.0,1,55296,9,27,0.0001,-0.899948238656762,0.013705706,0.045821629213483143,0.0240478515625,-0.002531413512116068,5660.1396484375,47,0.2,10821.376706241223
47329,17.3,165.02474143,3034.0,1,57344,9,28,0.0001,-0.893399921155745,0.0072957515,0.05897177419354839,0.013461887836456299,-0.0013926733855999286,6040.478515625,48,0.2,10591.171213457661
49009,17.52,165.38716643,2938.0,1,59392,9,29,0.0001,-0.8808919548988342,0.004042485,0.0203125,0.020304739475250244,0.002519917581230402,3900.3662109375,49,0.2,10243.446484375
50683,15.72,172.74060699,3178.0,1,61440,9,30,0.0001,-0.8731668025863414,0.025338389,0.03810586734693878,0.01813793182373047,-0.0024235982457365916,5588.4833984375,53,0.2,9441.584004304847
52297,16.69,157.61663566000001,3178.0,1,63488,9,31,0.0001,-0.8390717636793852,0.0079452945,0.02001953125,0.019216537475585938,-0.0005478300008689985,5187.04931640625,54,0.2,10299.943893432617
53939,16.02,156.03580582000004,3178.0,1,65536,9,32,0.0001,-0.845220709719309,0.010639686,0.03467987804878049,0.015096127986907959,0.00010714902565246675,3889.294189453125,56,0.2,9847.331924066311
55575,17.01,168.85537121,3178.0,1,67584,9,33,0.0001,-0.8496163326340753,0.015045424,0.021114864864864864,0.008555889129638672,-0.0017791786734518166,3549.1630859375,58,0.2,8954.337613492398
57262,14.35,122.57584077000001,3034.0,1,69632,9,34,0.0001,-0.8267795060672899,0.014896532,0.06603558394160584,0.025331199169158936,-0.006160992938671669,4362.86474609375,63,0.2,9765.893454892792
58919,17.29,195.01511293,3082.0,1,71680,9,35,0.0001,-0.7427837794095697,0.008920612,0.04940580985915493,0.028903603553771973,-0.003169963319956417,3881.993408203125,68,0.2,11582.807978240537
60551,14.35,142.57900238,3162.0,1,73728,9,36,0.0001,-0.7667828720062971,0.011144818,0.082421875,0.03574103116989136,-0.005021593970013782,4022.84619140625,73,0.2,7649.156161499023
