time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,custom/current_screen,time/time_elapsed,custom/max_height,train/n_updates,train/approx_kl,train/clip_range,train/learning_rate,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/loss,train/explained_variance
2048,-47.45924261363636,45.11363636363637,1,2,26,739,9082.0,,,,,,,,,,
4096,-32.115560494382024,45.92134831460674,2,2,26,1472,9074.0,5,0.0014690534,0.2,0.0001,0.0189453125,-0.12085470664314926,-0.0020769261609530076,4914.356448364258,2824.75048828125,-0.0006650686264038086
6144,-27.354064300000005,48.41,3,2,26,2220,9234.0,10,0.00030278828,0.2,0.0001,0.00478515625,-0.12069178342353552,-0.0005755920894443989,5434.1944030761715,3057.121826171875,0.016874372959136963
8192,-26.273731129999998,46.85,4,2,26,2956,9074.0,15,0.0013907899,0.2,0.0001,0.01474609375,-0.12187678907066583,-0.002051805090741254,5017.630383300781,2665.591796875,0.027935922145843506
10240,-30.622425149999998,46.25,5,2,26,3673,9346.0,20,0.0010217023,0.2,0.0001,0.01435546875,-0.10691092952620238,-0.003402723456383683,5400.572727966309,2717.545654296875,0.057345807552337646
12288,-12.77702845,46.07,6,2,26,4376,9074.0,25,0.0011532088,0.2,0.0001,0.0125,-0.10893111424520611,-0.003243528082384728,4827.647505187988,2203.030029296875,0.10239934921264648
14336,26.402681810000004,49.94,7,2,26,5071,9074.0,30,0.0009353026,0.2,0.0001,0.00546875,-0.10628584430087358,-0.002150163278565742,5276.8998748779295,2463.322021484375,0.1289457082748413
16384,42.36282657000001,51.67,8,2,26,5790,9074.0,35,0.0010742451,0.2,0.0001,0.0056640625,-0.09979369177017361,-0.0014622334943851455,4916.160775756836,2025.5472412109375,0.17899566888809204
18432,51.43990272,53.07,9,2,26,6498,9074.0,40,0.00049247616,0.2,0.0001,0.00380859375,-0.09797987062484026,-0.001602528296643868,4741.641819763184,2854.09716796875,0.14778393507003784
20480,64.31099993000001,55.29,10,2,26,7191,9074.0,45,0.0007798137,0.2,0.0001,0.00478515625,-0.09104835253674537,-0.002123380292323418,4568.348199462891,1745.7694091796875,0.1508091688156128
22528,100.08613399999999,55.81,11,2,26,7881,9074.0,50,0.00047778556,0.2,0.0001,0.0041015625,-0.09451774654444307,-0.0017254426216823048,4399.932476806641,1748.7305908203125,0.16398948431015015
24576,105.16671177999999,59.66,12,2,26,8556,9074.0,55,0.00026465868,0.2,0.0001,0.00146484375,-0.09099669167771936,-0.0012990745264687576,3819.624397277832,1720.7987060546875,0.20521461963653564
26624,119.28426461999999,63.41,13,2,26,9227,9074.0,60,0.0006110476,0.2,0.0001,0.00224609375,-0.09013611174887046,-0.001299499548622407,3582.99476852417,1406.409912109375,0.09665530920028687
28672,110.74260194999997,66.02,14,2,26,9899,9074.0,65,0.0003685822,0.2,0.0001,0.00595703125,-0.07815984316403046,-0.0019501090384437703,3677.195937347412,993.3807373046875,0.11400365829467773
30720,92.63596288,64.23,15,2,26,10584,9074.0,70,0.0008908112,0.2,0.0001,0.006640625,-0.08243939292151481,-0.0008222240954637528,3624.116574859619,3858.170166015625,0.08473795652389526
32768,89.01655836999998,63.47,16,2,26,11255,9074.0,75,0.0005824166,0.2,0.0001,0.00849609375,-0.08500568496529012,-0.0019955230847699566,4597.058001708984,2485.08740234375,0.06804871559143066
34816,91.59729988,65.37,17,2,26,11925,9074.0,80,0.00044067795,0.2,0.0001,0.00126953125,-0.08625920829363168,-0.0007550704205641523,3543.911619567871,1582.037353515625,0.1728510856628418
36864,101.93270893999997,68.65,18,2,26,12600,9234.0,85,0.0013343529,0.2,0.0001,0.01630859375,-0.08375378634082153,-0.0036615716642700137,3713.3402984619142,1658.7119140625,0.11756134033203125
38912,116.57966173999998,71.74,19,2,26,13242,9074.0,90,0.001555504,0.2,0.0001,0.01513671875,-0.076811195386108,-0.0028494288446381686,3561.554872894287,1786.3729248046875,0.16825616359710693
40960,133.43819406999998,71.25,20,2,26,13916,9218.0,95,0.0011387229,0.2,0.0001,0.0068359375,-0.07639211004134268,-0.001159189996542409,3032.193795776367,1364.7392578125,0.20905464887619019
43008,145.58613433,72.86,21,2,26,14579,9074.0,100,0.00051410164,0.2,0.0001,0.0025390625,-0.07575645840261132,-0.00045184479095041754,2681.3457122802733,1082.8656005859375,0.2530342936515808
