rollout/ep_len_mean,time/time_elapsed,time/iterations,custom/current_screen,time/total_timesteps,rollout/ep_rew_mean,custom/max_height,time/fps,train/approx_kl,train/clip_range,train/explained_variance,train/clip_fraction,train/learning_rate,train/value_loss,train/entropy_loss,train/loss,train/policy_gradient_loss,train/n_updates
70.34482758620689,662,1,27,2048,-15.669945896551729,9466.0,3,,,,,,,,,,
71.54385964912281,1319,2,27,4096,27.258369280701757,9466.0,3,0.0011299751,0.2,-0.00045680999755859375,0.01259765625,0.0001,3687.0978240966797,-0.09775752127170563,1472.0050048828125,-0.001491110799543094,5
71.40697674418605,1993,3,27,6144,17.796677906976747,9466.0,3,0.0005572118,0.2,0.027118384838104248,0.0060546875,0.0001,3691.4453559875487,-0.10211318344809114,2089.008056640625,-0.001865117170382291,10
70.4,2670,4,27,8192,42.152429129999994,9434.0,3,0.0014652564,0.2,0.023861587047576904,0.01806640625,0.0001,3720.579303741455,-0.09910110717173666,2089.262451171875,-0.003708695579553023,15
71.69,3328,5,27,10240,40.82785927,9466.0,3,0.0016835462,0.2,0.05421900749206543,0.0212890625,0.0001,3914.6586044311525,-0.09889282982330769,1540.857666015625,-0.0037139087420655415,20
74.09,3982,6,27,12288,70.6120009,9466.0,3,0.0013713489,0.2,0.08336162567138672,0.01123046875,0.0001,3834.791400909424,-0.09119920646771788,1621.9476318359375,-0.002173485697130673,25
77.51,4631,7,27,14336,99.96425759,9466.0,3,0.0010252632,0.2,0.06342071294784546,0.009375,0.0001,3238.8677734375,-0.09006929460447281,1221.6124267578125,-0.0021958905592327936,30
81.63,5243,8,27,16384,81.73567165000001,9466.0,3,0.0009787325,0.2,0.02528160810470581,0.0044921875,0.0001,3417.2745872497558,-0.1029797813622281,1659.5897216796875,-0.001854775389074348,35
81.99,5872,9,27,18432,70.67084207,9466.0,3,0.00033876888,0.2,0.007090449333190918,0.0041015625,0.0001,4080.761297607422,-0.0820530426222831,1135.787353515625,-8.510099723935127e-06,40
81.06,6516,10,27,20480,53.09321561000001,9466.0,3,0.0023627493,0.2,0.06263333559036255,0.02529296875,0.0001,3779.0975326538087,-0.09595438961405307,2152.33056640625,-0.0044114961288869384,45
80.7,7161,11,27,22528,61.837635580000004,9434.0,3,0.00081981096,0.2,0.07362759113311768,0.00947265625,0.0001,3558.182218170166,-0.08995206449180841,1641.2601318359375,-0.0022059567447286097,50
78.97,7810,12,27,24576,100.77754622999997,9658.0,3,0.001334965,0.2,0.11670100688934326,0.01357421875,0.0001,3080.907678985596,-0.09323013625107705,1509.57958984375,-0.002200344516313635,55
80.96,8432,13,27,26624,113.93066040999999,9434.0,3,0.0013521535,0.2,0.06426072120666504,0.009375,0.0001,3091.031784820557,-0.10367358948569745,1180.4466552734375,-0.00047488366544712335,60
81.19,9073,14,27,28672,131.56024734,9466.0,3,0.0012009996,0.2,0.047347307205200195,0.012890625,0.0001,3381.761879730225,-0.0885123833315447,1550.7242431640625,-0.0006820202135713771,65
81.18,9720,15,27,30720,131.77018711,9434.0,3,0.0019182296,0.2,0.09236466884613037,0.025390625,0.0001,2975.638161468506,-0.09276640000753104,884.4630737304688,-0.0034941726014949383,70
