time/iterations,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,custom/max_height,custom/current_screen,rollout/ep_rew_mean,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/approx_kl,train/explained_variance,train/value_loss,train/loss,train/n_updates
1,75.84615384615384,3,2048,652,9658.0,27,172.6086493076923,,,,,,,,,,
2,76.88679245283019,3,4096,1301,9466.0,27,179.80557899999997,0.0021484375,-0.09205114825163037,-0.0006283718248596415,0.2,0.0001,0.0006310404,0.08827990293502808,2243.615079498291,880.5332641601562,80
3,77.51898734177215,3,6144,1954,9466.0,27,176.43406175949366,0.0037109375,-0.09166959731373936,-0.0009632254121243022,0.2,0.0001,0.00039991114,0.0913817286491394,1995.438738632202,1154.0087890625,85
4,78.96,3,8192,2615,9434.0,27,168.82292764,0.01337890625,-0.08486211432609707,-0.0028531075906357726,0.2,0.0001,0.0013305033,0.05807429552078247,2209.5389278411867,1104.65625,90
5,78.52,3,10240,3268,9466.0,27,164.66002333999992,0.03173828125,-0.08239997789496556,-0.004419191312626936,0.2,0.0001,0.0021943664,0.04529029130935669,2413.455541610718,600.4427490234375,95
6,79.08,3,12288,3910,9434.0,27,159.72079190999997,0.0048828125,-0.08154879431240261,-0.0006441167395678348,0.2,0.0001,0.00031770082,0.11029052734375,1942.4230178833009,1683.72607421875,100
7,77.68,3,14336,4573,9434.0,27,163.24393186999998,0.0154296875,-0.0792785425670445,-0.0009932870103511958,0.2,0.0001,0.0011502969,0.08475637435913086,1978.8834465026855,773.8436889648438,105
8,76.78,3,16384,5220,9466.0,27,164.51871429,0.00986328125,-0.08179853562032804,-0.0003443029650952667,0.2,0.0001,0.0012254966,0.10983908176422119,2065.9320121765136,1264.768310546875,110
9,77.34,3,18432,5871,9466.0,27,160.94720455999996,0.0078125,-0.07848894982598723,-0.0007438679691404104,0.2,0.0001,0.0006084094,0.11235451698303223,2380.958889389038,1510.1878662109375,115
10,77.12,3,20480,6519,9434.0,27,162.61728047999998,0.00986328125,-0.07733086664229631,-0.001918010925874114,0.2,0.0001,0.0009662549,0.16968554258346558,1989.0047096252442,573.458984375,120
11,79.4,3,22528,7162,9434.0,27,159.67383500999998,0.011328125,-0.07810473457211628,-0.0014672301942482591,0.2,0.0001,0.0013857246,0.20491009950637817,1528.4769493103026,879.0314331054688,125
12,79.55,3,24576,7806,9466.0,27,158.59597116999998,0.02001953125,-0.08037774797994643,-0.002807063255022513,0.2,0.0001,0.0019688895,0.15476417541503906,2280.072686386108,874.1483764648438,130
13,79.77,3,26624,8457,9586.0,27,154.1123571,0.00146484375,-0.07750752991996705,-0.0005025958656915463,0.2,0.0001,0.0003777774,0.21050018072128296,2211.874070739746,936.686279296875,135
14,80.16,3,28672,9108,9434.0,27,156.88596338999997,0.01474609375,-0.08824403597973288,-0.003185234803822823,0.2,0.0001,0.0017677862,0.2333141565322876,2074.662981414795,1110.85107421875,140
15,81.26,3,30720,9757,9434.0,27,171.22959424,0.00556640625,-0.07765248348005116,-0.00014946646842872724,0.2,0.0001,0.00070854684,0.36203843355178833,1206.9148292541504,441.1388244628906,145
16,81.34,3,32768,10409,9466.0,27,179.80369057000004,0.0068359375,-0.07313104057684541,-0.001307065028231591,0.2,0.0001,0.0011689111,0.44898009300231934,900.4786109924316,315.95751953125,150
17,80.94,3,34816,11064,9466.0,27,188.9660957300001,0.00078125,-0.07022347926395014,0.00024604829668533056,0.2,0.0001,0.00026648247,0.2720632553100586,1701.5286376953125,527.0805053710938,155
18,77.51,3,36864,11732,9466.0,27,188.51050065000004,0.00380859375,-0.07581741900648922,-0.0009102293057367206,0.2,0.0001,0.00077217177,0.463395893573761,976.7936777114868,672.46484375,160
