rollout/ep_len_mean,time/time_elapsed,custom/max_height,custom/current_screen,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/iterations,train/clip_range,train/n_updates,train/value_loss,train/learning_rate,train/approx_kl,train/entropy_loss,train/clip_fraction,train/explained_variance,train/loss,train/policy_gradient_loss
20.04,1410,10130.0,29,154.32813415,2048,1,1,,,,,,,,,,
17.29,2939,10130.0,29,150.34557952,4096,1,2,0.2,278,7891.622360229492,0.0001,0.0040919506,-0.5237391512840986,0.00771484375,0.0001849532127380371,2852.10400390625,-0.0011276365199591964
19.3,4372,10130.0,29,158.23898529,6144,1,3,0.2,283,8840.180868530273,0.0001,0.0102795875,-0.5067731181159616,0.06787109375,-5.066394805908203e-05,5011.74169921875,0.0021686748194042595
18.06,5850,10130.0,29,157.91292088999998,8192,1,4,0.2,284,7959.522567749023,0.0001,0.007251761,-0.4853773918002844,0.05810546875,0.0003266334533691406,4414.798828125,0.0022581241792067885
19.67,7277,10130.0,29,138.94407231,10240,1,5,0.2,289,7854.0109588623045,0.0001,0.008532641,-0.47615916319191454,0.05732421875,-2.47955322265625e-05,5100.1494140625,0.0005692806269507855
18.64,8775,10130.0,29,153.21052063,12288,1,6,0.2,290,9121.41962890625,0.0001,0.012993719,-0.48336594303448993,0.13645833333333332,-0.00010132789611816406,5972.80712890625,-0.006077333353459835
20.37,10190,10130.0,29,168.26071162,14336,1,7,0.2,295,8793.712170410156,0.0001,0.0049209353,-0.4530767509713769,0.04140625,-6.9141387939453125e-06,5255.84423828125,0.002222496733884327
17.67,11704,10130.0,29,150.11440689,16384,1,8,0.2,300,6797.681740025112,0.0001,0.016589431,-0.46892304165022713,0.04140625,-2.1219253540039062e-05,5649.001953125,-0.005056523105927876
17.28,13253,10130.0,29,164.47002847,18432,1,9,0.2,305,8790.15445251465,0.0001,0.0072908876,-0.5031029507517815,0.08134765625,-3.3855438232421875e-05,4006.85693359375,-0.0015661616402212531
18.03,14736,10130.0,29,131.85789803999998,20480,1,10,0.2,310,8352.052255249024,0.0001,0.00457333,-0.5300612824037672,0.06123046875,5.424022674560547e-06,4600.00048828125,-0.00021646313834935426
18.68,16203,10130.0,29,160.97437505999997,22528,1,11,0.2,314,11040.656399944635,0.0001,0.008113042,-0.5201939248193906,0.04798228346456693,-1.3947486877441406e-05,8750.0078125,1.4583279532710399e-05
18.71,17683,10130.0,29,154.27815331,24576,1,12,0.2,319,8358.538134765626,0.0001,0.0019983107,-0.5003272576257587,0.0361328125,1.436471939086914e-05,3387.660400390625,0.001483804255258292
19.13,19127,10130.0,29,157.55721243999997,26624,1,13,0.2,324,8847.705941772461,0.0001,0.001691347,-0.5208126179873943,0.0453125,-0.0001367330551147461,2864.810302734375,0.0008609810465713963
18.68,20589,10130.0,29,160.02428699,28672,1,14,0.2,327,8039.3723197605295,0.0001,0.004743975,-0.5112379876815755,0.021399456521739132,3.0875205993652344e-05,4236.3046875,0.0008412093511256187
18.7,22060,10242.0,29,157.50827308,30720,1,15,0.2,332,7759.12391204834,0.0001,0.0053429315,-0.48214010559022424,0.02880859375,0.0001361370086669922,3435.019287109375,0.001938512863125652
17.23,23638,10130.0,29,119.06101072,32768,1,16,0.2,337,8202.309172223328,0.0001,0.008516137,-0.46989011897402966,0.04388933121019108,3.68952751159668e-05,4771.517578125,0.000516796081214194
20.76,25042,10130.0,29,142.60354955999998,34816,1,17,0.2,342,11863.904934692382,0.0001,0.004704718,-0.436775965243578,0.03349609375,-3.361701965332031e-05,6554.1875,-0.007895261427620426
17.58,26592,10370.0,29,150.10722479999998,36864,1,18,0.2,347,8561.469989013673,0.0001,0.0074121,-0.42905006352812053,0.047265625,0.00018078088760375977,3230.480224609375,-0.003450384645839222
18.24,28060,10130.0,29,167.65357303999997,38912,1,19,0.2,352,10189.080236816406,0.0001,0.0034280084,-0.4787517605349422,0.023046875,0.0004087686538696289,4997.68017578125,-0.002287247101776302
20.68,29469,10130.0,29,192.96038775,40960,1,20,0.2,357,7239.8906921386715,0.0001,0.0018771891,-0.4863631626591086,0.00517578125,0.005290865898132324,3072.85595703125,-0.0010456356103532016
19.44,30918,10130.0,29,168.33748335,43008,1,21,0.2,362,4708.59119644165,0.0001,0.0019935858,-0.44797361455857754,0.00830078125,0.0026816725730895996,2546.08251953125,-0.0010917511986917815
