time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,custom/current_screen,time/iterations,time/time_elapsed,custom/max_height,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/n_updates,train/explained_variance,train/loss,train/value_loss
2048,223.27951156,3,81.2,30,1,641,10498.0,,,,,,,,,,
4096,203.14715181132078,3,77.26415094339623,30,2,1302,10498.0,0.0001,-0.08274807333946228,-0.0012213956972118468,0.2,0.00088446576,0.008203125,5,2.1278858184814453e-05,1054.9210205078125,3060.4125946044924
6144,200.30315396202536,3,77.50632911392405,30,3,1947,10498.0,0.0001,-0.08538335501216351,-0.00042648203088901937,0.2,0.0010322968,0.00791015625,10,0.11235249042510986,991.3714599609375,3030.2243003845215
8192,198.17922931999993,3,77.45,30,4,2605,10498.0,0.0001,-0.08028205570299178,-0.0011525147536303848,0.2,0.000808791,0.00810546875,15,0.1011652946472168,1263.9173583984375,2659.6847953796387
10240,194.96221727999998,3,77.24,30,5,3267,10754.0,0.0001,-0.08250006140442565,0.00030790155433351173,0.2,0.0004955483,0.00419921875,20,0.05853360891342163,1444.3260498046875,2569.0334655761717
12288,191.21326145,3,77.02,30,6,3924,10754.0,0.0001,-0.08093570024939253,-0.0010279202935635113,0.2,0.0007591939,0.00791015625,25,0.037120521068573,930.0969848632812,2423.3155830383303
14336,194.70167726,3,78.33,30,7,4568,10626.0,0.0001,-0.08519820967921987,-0.0010774843336548655,0.2,0.0018743826,0.016015625,30,0.023255109786987305,880.69677734375,2301.4352066040037
16384,201.67152885999997,3,78.53,30,8,5228,10498.0,0.0001,-0.08837959633674472,0.0006705156527459621,0.2,0.0008782088,0.004296875,35,0.02066093683242798,953.4793701171875,2055.192642211914
18432,205.14330627999996,3,78.41,30,9,5888,10626.0,0.0001,-0.08890426082070917,-0.000325987910036929,0.2,0.0010329252,0.0095703125,40,0.016151487827301025,639.5740966796875,2040.0697067260742
20480,216.31746192999998,3,79.7,30,10,6540,10626.0,0.0001,-0.08921263129450381,-0.0024870197317795827,0.2,0.0009852418,0.0115234375,45,0.013867378234863281,667.8253784179688,1794.0851432800293
22528,201.16182,3,77.04,30,11,7204,10634.0,0.0001,-0.0958936276845634,0.0014261481555877253,0.2,0.0011748208,0.01435546875,50,0.012859880924224854,872.7471313476562,1559.4772953033448
24576,193.67655488,3,75.71,30,12,7880,10754.0,0.0001,-0.11046054933685809,-0.00017700906173558905,0.2,0.0009592507,0.0123046875,55,0.005724191665649414,688.1783447265625,2055.960750198364
26624,185.96660540000002,3,73.62,30,13,8556,10754.0,0.0001,-0.12226571517530829,-0.0011365477403160185,0.2,0.0016121028,0.01318359375,60,0.00676274299621582,443.3544616699219,1741.138458633423
28672,186.48792954999996,3,72.86,30,14,9249,10754.0,0.0001,-0.15217250515706837,-0.0019660264515550807,0.2,0.0064537353,0.02021484375,65,0.007031619548797607,864.1181640625,1581.4381088256837
30720,183.82273703999996,3,72.32,30,15,9980,10754.0,0.0001,-0.20279863682704244,-0.0006863225887461407,0.2,0.009396005,0.045985772357723574,69,0.006424546241760254,801.6759643554688,1554.251019733708
32768,195.02235245000003,3,74.27,30,16,10660,10754.0,0.0001,-0.18791186660528184,0.0006605729460716248,0.2,0.010299285,0.0765625,70,0.0028454065322875977,2325.82373046875,2422.8166015625
34816,192.07711344999996,3,72.95,30,17,11366,10754.0,0.0001,-0.1649698826484382,-0.00041888148407451806,0.2,0.00067368674,0.00693359375,75,0.011541008949279785,561.8460693359375,1070.038112258911
36864,199.22132690999996,3,72.75,30,18,12072,10498.0,0.0001,-0.20903177168220283,0.0014943109403247946,0.2,0.0075445883,0.05205078125,80,0.002831697463989258,508.75042724609375,1780.6097625732423
38912,198.71790798999996,3,73.02,30,19,12791,10498.0,0.0001,-0.2172378120943904,-0.0012675939200562426,0.2,0.007097677,0.0388671875,85,0.013049304485321045,394.6910095214844,1092.981928062439
40960,198.43392734000005,3,70.6,30,20,13545,10498.0,0.0001,-0.24129799492657183,-0.00040381996659561993,0.2,0.005685157,0.0361328125,90,0.006226778030395508,537.0802001953125,1353.714246749878
