time/time_elapsed,time/total_timesteps,custom/max_height,rollout/ep_rew_mean,custom/current_screen,time/fps,rollout/ep_len_mean,time/iterations,train/clip_range,train/n_updates,train/learning_rate,train/loss,train/clip_fraction,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/value_loss
1033,2048,10874.0,-6.471636441176467,31,1,29.926470588235293,1,,,,,,,,,,
2120,4096,11090.0,5.442468879999998,31,1,28.87,2,0.2,40,0.0001,3357.72119140625,0.0326171875,0.0046735173,-0.9944692902266979,-0.003590797699871473,0.17539912462234497,6330.9985977172855
3156,6144,11002.0,0.19003803999999974,31,1,30.46,3,0.2,45,0.0001,2905.575439453125,0.05068359375,0.0068895547,-0.9907749108970165,-0.008063572013634257,0.17679870128631592,6892.4275573730465
4201,8192,11002.0,-3.1288628800000002,31,1,30.86,4,0.2,50,0.0001,2402.9140625,0.024609375,0.005314996,-1.012037431448698,-0.006139146606437862,0.19645482301712036,6032.101870727539
5289,10240,10858.0,4.756669189999997,31,1,30.11,5,0.2,55,0.0001,3110.184326171875,0.01982421875,0.0041572955,-1.0208626609295606,-0.0032823152840137483,0.1975688934326172,6243.894836425781
6334,12288,11090.0,6.2857965999999985,31,1,29.3,6,0.2,60,0.0001,3879.39794921875,0.03779296875,0.006167826,-1.0352707624435424,-0.003935351056861691,0.23289436101913452,6455.912786865234
7377,14336,11090.0,33.104202009999995,31,1,31.49,7,0.2,65,0.0001,2172.769775390625,0.01025390625,0.0047519593,-1.0210540987551213,-0.002379902884422336,0.18279141187667847,6686.72017211914
8456,16384,11002.0,24.84209221,31,1,29.68,8,0.2,70,0.0001,3359.531005859375,0.00908203125,0.0035307456,-1.0515296433120966,-0.0015551874123048038,0.23989075422286987,6067.568075561523
9563,18432,10858.0,8.488390859999996,31,1,29.63,9,0.2,75,0.0001,4224.61376953125,0.02705078125,0.005458496,-1.0560685869306325,-0.00456222631764831,0.16211068630218506,6433.204719543457
10647,20480,11090.0,7.419117489999996,31,1,29.32,10,0.2,80,0.0001,3730.72216796875,0.0126953125,0.0040486064,-1.0562998212873935,-0.0019350008806213737,0.1598210334777832,6737.592376708984
11750,22528,11090.0,21.727893320000003,31,1,29.25,11,0.2,85,0.0001,4330.9453125,0.02607421875,0.005171309,-1.0325312465429306,-0.005542221610085107,0.13294827938079834,7212.725732421875
12820,24576,11002.0,11.244967390000001,31,1,30.85,12,0.2,90,0.0001,3301.808349609375,0.0369140625,0.006547209,-1.0750452972948552,-0.003894995601149276,0.20434051752090454,6396.372695922852
13887,26624,11090.0,44.043031250000006,31,1,28.04,13,0.2,95,0.0001,3305.93408203125,0.06923828125,0.0088812895,-1.053051871806383,-0.006606260809348896,0.18807846307754517,6718.288870239257
14954,28672,10858.0,33.73316854000001,31,1,29.87,14,0.2,100,0.0001,3753.283935546875,0.0146484375,0.00664865,-1.026988984271884,-0.0021476332738529893,0.16416287422180176,7138.796594238282
16063,30720,10858.0,43.33632487,31,1,26.89,15,0.2,105,0.0001,3018.099853515625,0.0388671875,0.0059990976,-1.0413834802806377,-0.004610273821162992,0.1629314422607422,6311.891764831543
17123,32768,10858.0,37.094634750000004,31,1,31.37,16,0.2,110,0.0001,4771.01611328125,0.0201171875,0.0043812506,-1.0065225668251514,-0.004290887271054089,0.1519421935081482,7949.072113037109
18207,34816,10858.0,43.27366367999999,31,1,29.37,17,0.2,115,0.0001,3600.850341796875,0.02314453125,0.008289158,-1.0398747786879539,-0.004702840495156124,0.15290921926498413,6352.030538940429
19292,36864,10858.0,27.16383082999999,31,1,28.45,18,0.2,120,0.0001,3136.612548828125,0.01533203125,0.0042751674,-1.0198538191616535,-0.0039054312132066117,0.17867571115493774,7135.445645141602
20438,38912,11090.0,23.941758419999996,31,1,26.72,19,0.2,125,0.0001,3420.48876953125,0.04306640625,0.005580212,-1.0152092937380075,-0.004619294407893904,0.13938987255096436,7497.704769897461
21555,40960,11090.0,68.39012081,31,1,29.5,20,0.2,130,0.0001,4082.21240234375,0.030078125,0.0056260484,-1.0258533872663975,-0.00432330047187861,0.2056019902229309,7583.860348510742
22641,43008,10874.0,41.40295533,31,1,28.44,21,0.2,135,0.0001,2796.7724609375,0.0259765625,0.0047223726,-1.0673975341022015,-0.004430738292285241,0.18821567296981812,6058.151007080078
23735,45056,11002.0,11.049470889999998,31,1,29.69,22,0.2,140,0.0001,3343.630615234375,0.0115234375,0.003962048,-1.0043267659842967,-0.003122417430859059,0.14792519807815552,7513.10832824707
24863,47104,11090.0,43.00944516,31,1,30.66,23,0.2,145,0.0001,4177.2109375,0.02041015625,0.006122357,-1.0056077603250742,-0.0038292879064101724,0.13294386863708496,7916.533401489258
