rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,custom/max_height,time/iterations,time/total_timesteps,time/time_elapsed,custom/current_screen,train/n_updates,train/policy_gradient_loss,train/loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/value_loss,train/clip_range,train/learning_rate,train/clip_fraction
-198.56,100.0,1,-302.0,1,2048,1892,0,,,,,,,,,,
-188.119539,99.78048780487805,1,-302.0,2,4096,3787,0,5,-0.00920715373940766,471.11590576171875,-3.3276525005698203,-0.0013835430145263672,0.009042572,2912.31679649353,0.2,0.0001,0.03583984375
-190.12624752459018,99.85245901639344,1,-302.0,3,6144,5640,0,10,-0.011783128554816358,1105.586181640625,-3.319904799759388,-0.0017205476760864258,0.009217246,2950.266608428955,0.2,0.0001,0.04921875
-192.65489145121953,99.89024390243902,1,-302.0,4,8192,7557,0,15,-0.009059446043102071,1202.5933837890625,-3.315709088742733,-0.0034121274948120117,0.006438704,2499.8325374603273,0.2,0.0001,0.01953125
-193.68901098999999,99.91,1,-302.0,5,10240,9454,0,20,-0.0113804173306562,921.4749145507812,-3.313275808095932,-0.0009022951126098633,0.00990738,2610.036978530884,0.2,0.0001,0.03994140625
-194.26501099,99.91,1,-302.0,6,12288,11341,0,25,-0.013870350149227306,882.8753051757812,-3.30718330591917,-0.0009135007858276367,0.009383432,2333.8130615234377,0.2,0.0001,0.06298828125
-198.27199999999996,100.0,1,-302.0,7,14336,13197,0,30,-0.008324617991456762,1365.7432861328125,-3.3006551563739777,-0.00015282630920410156,0.0070807836,2180.673589706421,0.2,0.0001,0.01962890625
-194.83348147999996,99.54,1,-302.0,8,16384,15114,0,35,-0.010122954142570962,943.363525390625,-3.296957965195179,-0.00032460689544677734,0.007913759,2111.800895690918,0.2,0.0001,0.041796875
-190.52245445,98.91,1,-302.0,9,18432,17081,0,40,-0.017060074623441324,1228.4681396484375,-3.286152496933937,-0.00020265579223632812,0.010029621,2281.5091236114504,0.2,0.0001,0.1013671875
-189.94645445000003,98.91,1,-302.0,10,20480,18931,0,45,-0.014233096787938848,819.8379516601562,-3.2714972272515297,-8.463859558105469e-05,0.013657789,2146.027130508423,0.2,0.0001,0.116796875
-175.88477074000002,97.62,1,-302.0,11,22528,21005,0,50,-0.009775385743705556,465.4312744140625,-3.263217566907406,-0.00021529197692871094,0.0091763735,1716.2758159637451,0.2,0.0001,0.04169921875
-175.59677074000004,97.62,1,-302.0,12,24576,23066,0,55,-0.00950879796873778,850.5963745117188,-3.2567706659436224,-8.20159912109375e-05,0.013258442,2571.9984924316404,0.2,0.0001,0.217578125
-179.61128925999998,98.08,1,-158.0,13,26624,25150,0,60,-0.0072399623197270556,954.3495483398438,-3.2520952954888345,-0.0002511739730834961,0.005981786,1694.0956314086914,0.2,0.0001,0.01328125
-171.2657977,97.75,1,-302.0,14,28672,27177,0,65,-0.006337334457202815,819.366943359375,-3.256257125735283,-0.00011897087097167969,0.0046742354,1508.9751350402832,0.2,0.0001,0.012109375
-170.9777977,97.75,1,-302.0,15,30720,29294,0,70,-0.013100148428202374,716.8980712890625,-3.258046139776707,-4.303455352783203e-05,0.010173643,2454.0451347351072,0.2,0.0001,0.081640625
-170.92662640000003,97.34,1,-302.0,16,32768,31312,0,75,-0.0072330216789850965,957.6907348632812,-3.2544744431972505,-0.0007464885711669922,0.004496009,1422.2906585693358,0.2,0.0001,0.00869140625
-164.90243128000003,97.16,1,-302.0,17,34816,33444,0,80,-0.0127523197355913,1020.6892700195312,-3.234651301801205,0.0001481771469116211,0.011675989,2280.5141525268555,0.2,0.0001,0.1517578125
-125.57262378000001,92.82,1,-302.0,18,36864,35654,0,85,-0.01494155373366084,598.1853637695312,-3.246741870045662,-0.0009210109710693359,0.010986088,1609.5448974609376,0.2,0.0001,0.09853515625
-109.50359092000002,91.27,1,-158.0,19,38912,37805,0,90,-0.010024403827264905,1864.6124267578125,-3.2254156574606894,6.633996963500977e-05,0.003889242,4823.410694885254,0.2,0.0001,0.009375
