rollout/ep_len_mean,custom/max_height,time/fps,time/iterations,time/time_elapsed,custom/current_screen,time/total_timesteps,rollout/ep_rew_mean,train/loss,train/entropy_loss,train/clip_range,train/approx_kl,train/value_loss,train/n_updates,train/clip_fraction,train/learning_rate,train/explained_variance,train/policy_gradient_loss
78.53846153846153,-302.0,0,1,2066,0,2048,2.584898038461539,,,,,,,,,,
72.125,-302.0,0,2,4263,0,4096,49.21339087500001,2189.688720703125,-3.203851680457592,0.2,0.0013965338,4937.905401611328,100,0.00751953125,0.0001,0.0004258155822753906,-0.006173729224246927
69.43181818181819,-14.0,0,3,6481,0,6144,58.12937075,4200.73291015625,-3.1723802119493483,0.2,0.0007457507,7351.463912963867,105,0.0,0.0001,0.00037723779678344727,-0.004913404703256674
65.88,-302.0,0,4,8731,0,8192,78.75163376,2895.103515625,-3.1569168359041213,0.2,0.0004847825,6602.308166503906,110,0.0,0.0001,0.004527866840362549,-0.003370608725526836
59.91,-302.0,0,5,10950,0,10240,115.43920080999999,2667.673583984375,-3.1257142543792726,0.2,0.0008953559,6601.051921081543,115,0.00107421875,0.0001,0.011718034744262695,-0.005063298743334599
57.19,-302.0,0,6,13217,0,12288,133.05971797,3571.08935546875,-3.0966775089502336,0.2,0.0010303464,6244.702282714844,120,0.0001953125,0.0001,0.03945392370223999,-0.006073379544250202
56.86,-302.0,0,7,15588,0,14336,141.24919586000001,3417.188232421875,-3.0741831079125403,0.2,0.0007011056,5782.811489868164,125,0.0,0.0001,0.036354005336761475,-0.004861409158911556
51.97,-158.0,0,8,17944,0,16384,164.85192884,2483.125732421875,-3.0535269349813463,0.2,0.00070968445,5388.304142761231,130,0.00146484375,0.0001,0.02368682622909546,-0.003972891233570408
45.88,-158.0,0,9,20206,0,18432,180.36537449000008,3601.719970703125,-3.0137310847640038,0.2,0.00037124436,5944.747384643555,135,0.0,0.0001,0.004291653633117676,-0.003005671815481037
41.4,-158.0,0,10,22516,0,20480,177.69705696,2174.894775390625,-2.9971503645181654,0.2,0.00096079253,4767.544200134277,140,0.0,0.0001,0.015296399593353271,-0.005447352791088633
32.88,-302.0,0,11,25023,0,22528,192.99338470000004,3338.0947265625,-2.987343800067902,0.2,0.0015658941,6253.254232788086,145,0.0,0.0001,0.02257925271987915,-0.0071811356552643705
28.47,-158.0,0,12,27492,0,24576,218.41382685000005,2622.830810546875,-2.8597405731678007,0.2,0.0011494255,6236.30625,150,0.00048828125,0.0001,0.02193903923034668,-0.004977791648707352
27.96,-302.0,0,13,30078,0,26624,227.45832933000003,2597.87158203125,-2.831515188515186,0.2,0.0014387387,5595.865678405762,155,0.000390625,0.0001,0.008276820182800293,-0.007006666716188192
24.11,-158.0,0,14,32659,0,28672,235.77772312000002,2064.766845703125,-2.7367772221565247,0.2,0.0007567287,4572.770304870605,160,0.0,0.0001,0.002883434295654297,-0.005804407148389146
26.59,-302.0,0,15,35263,0,30720,235.07770283000005,2253.085205078125,-2.687198889255524,0.2,0.0013539849,4514.519424438477,165,0.0,0.0001,0.0035415291786193848,-0.007837779104011133
23.86,-158.0,0,16,37984,0,32768,233.77851067000003,1954.5054931640625,-2.6661675184965135,0.2,0.001240168,3606.868721008301,170,0.0,0.0001,0.002198517322540283,-0.007542211501277052
17.27,-158.0,0,17,40691,0,34816,237.72335858000002,1759.7352294921875,-2.583412289619446,0.2,0.0019925765,3887.215071105957,175,0.0021484375,0.0001,0.0012996792793273926,-0.010409913846524432
17.97,-302.0,0,18,43501,0,36864,237.08941171000004,1919.443359375,-2.4895335510373116,0.2,0.0015171487,4807.24670715332,180,9.765625e-05,0.0001,0.0017110109329223633,-0.009456916491035371
14.65,-14.0,0,19,46349,0,38912,239.35092032000003,1817.61181640625,-2.3984052553772925,0.2,0.0015889346,4149.136114501953,185,0.0,0.0001,0.0012953877449035645,-0.008964719416690059
12.54,-158.0,0,20,49212,0,40960,239.54378512000002,2161.22216796875,-2.322234979271889,0.2,0.0022058885,4230.200738525391,190,0.003125,0.0001,0.0011821389198303223,-0.00954488830466289
11.7,-302.0,0,21,52104,0,43008,240.5437016300001,2083.235595703125,-2.242684631049633,0.2,0.0029374608,4203.445053100586,195,0.00322265625,0.0001,0.0008636116981506348,-0.007604574589640834
