time/total_timesteps,time/time_elapsed,custom/max_height,rollout/ep_len_mean,custom/current_screen,time/iterations,rollout/ep_rew_mean,time/fps,train/entropy_loss,train/n_updates,train/clip_fraction,train/learning_rate,train/clip_range,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/loss,train/approx_kl
2048,2748,186.0,6.81,1,1,-179.14699999999993,0,,,,,,,,,,
4096,5447,90.0,7.22,1,2,-183.47199999999992,0,-3.012594982981682,30,0.0900390625,0.0001,0.2,14880.739263916015,-0.0004495382308959961,-0.027827946571051143,8333.0849609375,0.01244443
6144,8106,90.0,10.65,1,3,-184.3359999999999,0,-2.9331511110067368,35,0.0751953125,0.0001,0.2,12724.834576416015,-0.0006694793701171875,-0.026770596182905136,6174.52392578125,0.010338077
8192,10844,90.0,11.52,1,4,-185.48799999999991,0,-2.8506535232067107,40,0.0314453125,0.0001,0.2,9995.470141601563,5.364418029785156e-07,-0.01645747270085849,5261.16357421875,0.006718807
10240,13433,90.0,15.13,1,5,-186.92799999999997,0,-2.8121005207300187,45,0.05087890625,0.0001,0.2,8576.690423583985,-0.0001804828643798828,-0.017526552360504866,4584.36572265625,0.010336685
12288,15997,90.0,17.14,1,6,-188.65599999999992,0,-2.7571007788181303,50,0.02890625,0.0001,0.2,7258.411822509765,-0.0001347064971923828,-0.012759519295650534,3952.174072265625,0.0068909656
14336,18485,186.0,18.06,1,7,-184.33599999999996,0,-2.7025034576654434,55,0.05712890625,0.0001,0.2,6540.670779418945,-8.809566497802734e-05,-0.017928281833883376,2974.056396484375,0.009137627
16384,20947,186.0,24.31,1,8,-184.91999999999993,0,-2.6321051940321922,60,0.05068359375,0.0001,0.2,5340.506021118164,-7.367134094238281e-05,-0.018581441763672046,3102.491943359375,0.010874041
18432,23386,186.0,25.52,1,9,-185.48799999999994,0,-2.5804023802280427,65,0.0333984375,0.0001,0.2,3843.8836303710937,-7.092952728271484e-05,-0.011833398921589832,1614.4310302734375,0.006569068
20480,25864,90.0,31.51,1,10,-184.72799999999992,0,-2.5278991162776947,70,0.05693359375,0.0001,0.2,3590.1000190734862,-7.236003875732422e-05,-0.016910563822602854,1920.0068359375,0.008865283
22528,28336,90.0,31.86,1,11,-182.41999999999996,0,-2.5174108684062957,75,0.0767578125,0.0001,0.2,2579.3471809387206,-6.747245788574219e-05,-0.01284362624573987,993.921875,0.010123817
24576,30768,186.0,37.23,1,12,-184.83999999999992,0,-2.5219487980008126,80,0.05927734375,0.0001,0.2,2621.3413955688475,-3.612041473388672e-05,-0.012998609250644222,1422.914306640625,0.008965947
26624,33386,90.0,40.9,1,13,-185.82399999999998,0,-2.5175133496522903,85,0.073046875,0.0001,0.2,2139.546100616455,-5.698204040527344e-05,-0.01408229447552003,899.3663940429688,0.009375265
