custom/max_height,custom/current_screen,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/clip_range,train/clip_fraction,train/explained_variance,train/loss
186.0,1,2561,0,1,-39.009112079999994,2048,10.25,,,,,,,,,,
90.0,1,5093,0,2,4.470439249999999,4096,11.08,0.0054260883,10942.27035522461,0.0001,-2.1276749208569528,-0.013517279873485676,50,0.2,0.040625,0.013273894786834717,5248.9111328125
90.0,1,7672,0,3,83.17953748,6144,14.3,0.0066855587,14204.525970458984,0.0001,-2.1006598263978957,-0.015786421592929402,55,0.2,0.017578125,0.02086472511291504,4873.7880859375
282.0,1,10263,0,4,57.087297019999994,8192,11.34,0.005395498,17463.821704101563,0.0001,-2.093188200891018,-0.007687534249271266,60,0.2,0.01572265625,0.018838107585906982,8639.9599609375
282.0,1,12954,0,5,102.57273614,10240,11.83,0.0076536722,18527.571051025392,0.0001,-2.061935733258724,-0.014871857519028708,65,0.2,0.02080078125,0.009180307388305664,9439.107421875
282.0,1,15547,0,6,168.36201368000002,12288,11.97,0.007369592,21337.295294189455,0.0001,-2.0245476238429547,-0.0187562812527176,70,0.2,0.0451171875,0.010235726833343506,9510.3017578125
90.0,1,18199,0,7,143.56139622,14336,12.32,0.0070714247,21990.88625488281,0.0001,-1.9796680204570294,-0.02003468602488283,75,0.2,0.02021484375,0.00903630256652832,10842.3955078125
90.0,1,20751,0,8,144.03398133,16384,12.23,0.005425468,22554.600158691406,0.0001,-1.9799289517104626,-0.005493449221830815,80,0.2,0.0146484375,0.007940828800201416,10454.296875
282.0,1,23343,0,9,150.65553631999998,18432,11.57,0.0065349555,22396.80842285156,0.0001,-1.9868701592087745,-0.006784135414636694,85,0.2,0.04091796875,0.002522766590118408,11074.9912109375
90.0,1,25883,0,10,161.83958999,20480,12.26,0.0054884823,23834.63624267578,0.0001,-1.9672905005514623,-0.015570664417464287,90,0.2,0.0296875,0.004860222339630127,11668.6591796875
90.0,1,28478,0,11,182.66057532,22528,11.9,0.0060286205,23067.303283691406,0.0001,-1.9552942879498005,-0.01320688807463739,95,0.2,0.0248046875,0.0036986470222473145,12136.1220703125
186.0,1,30980,0,12,192.31417922999998,24576,11.19,0.0057678614,23118.21076660156,0.0001,-1.9388881638646125,-0.015721014805603773,100,0.2,0.0146484375,0.0036414265632629395,11479.9638671875
90.0,1,33463,0,13,200.27779664000005,26624,13.31,0.004630066,23616.502197265625,0.0001,-1.9141437761485576,-0.009075380954891443,105,0.2,0.0119140625,0.0037710070610046387,10694.6005859375
306.0,1,35957,0,14,206.74613127000003,28672,11.89,0.0081664985,22457.97834472656,0.0001,-1.8827569782733917,-0.017470777878770605,110,0.2,0.03623046875,0.004579424858093262,11864.1044921875
186.0,1,38404,0,15,231.53285169999998,30720,13.11,0.004858158,21925.37685546875,0.0001,-1.8798744671046734,-0.0028565006563439966,115,0.2,0.02880859375,0.006543993949890137,9453.765625
90.0,1,40779,0,16,260.14209094,32768,15.17,0.0073256227,20192.513916015625,0.0001,-1.912421076744795,5.5260921362787486e-05,120,0.2,0.0638671875,0.002246558666229248,10155.0068359375
90.0,1,43173,0,17,256.48844498,34816,15.87,0.004303976,19386.96612548828,0.0001,-1.935186267644167,-0.005447191739222035,125,0.2,0.01162109375,0.003298938274383545,10706.2255859375
90.0,1,45645,0,18,232.53103149000003,36864,15.08,0.0058766305,18059.20615234375,0.0001,-1.9295303225517273,-0.008212134122732095,130,0.2,0.013671875,0.0039705634117126465,7921.99853515625
90.0,1,48042,0,19,223.79998282000005,38912,16.31,0.006660629,19084.39585571289,0.0001,-1.9203476428985595,-0.012893193430500105,135,0.2,0.0505859375,0.002314925193786621,10620.3017578125
186.0,1,50475,0,20,224.20871226,40960,13.58,0.009572277,17970.308068847655,0.0001,-1.9123233631253242,-0.016112557341693902,140,0.2,0.0787109375,0.008056700229644775,8558.2138671875
186.0,1,52846,0,21,233.92719130999998,43008,16.42,0.0069328533,19411.638818359374,0.0001,-1.9073563657701016,-0.007606790610589087,145,0.2,0.0521484375,0.007817447185516357,10562.9541015625
90.0,1,55264,0,22,200.32993087000003,45056,16.76,0.0074626743,16652.78609008789,0.0001,-1.932987502962351,-0.006133259990019724,150,0.2,0.090625,0.0026377439498901367,8618.0224609375
186.0,1,57582,0,23,234.81151432,47104,17.67,0.008846012,15973.564239501953,0.0001,-1.9312896244227886,-0.014340891398023813,155,0.2,0.057421875,0.00899595022201538,7688.5576171875
90.0,1,59857,0,24,265.0690461,49152,17.41,0.0075708376,16505.509521484375,0.0001,-1.9363128967583179,-0.008409914135700091,160,0.2,0.0638671875,0.00920039415359497,8399.009765625
306.0,1,62178,0,25,267.88752215,51200,15.54,0.0048462567,17216.209759521484,0.0001,-1.9210843749344348,-0.010713542987650726,165,0.2,0.02578125,0.010772645473480225,7180.3662109375
186.0,1,64565,0,26,313.11207243,53248,16.44,0.0043255975,17550.65458984375,0.0001,-1.9014431647956371,-0.008886988164158538,170,0.2,0.00625,0.006752073764801025,9768.6015625
186.0,1,67054,0,27,264.9353648,55296,16.04,0.006623186,14944.498504638672,0.0001,-1.9109625086188315,-0.007715680557885208,175,0.2,0.03466796875,0.003244757652282715,5667.6875
186.0,1,69425,0,28,339.88625753,57344,16.64,0.008870425,17217.87840576172,0.0001,-1.8948440439999104,-0.011043966715806163,180,0.2,0.08134765625,0.0016448497772216797,7849.017578125
306.0,1,71820,0,29,316.20034937,59392,16.7,0.0028336786,14166.36449584961,0.0001,-1.8907484270632267,-0.004162495593482163,185,0.2,0.0033203125,0.010712921619415283,6662.30859375
186.0,1,74204,0,30,265.63649411,61440,14.74,0.005280367,15279.750921630859,0.0001,-1.910362884402275,-0.006866546973469667,190,0.2,0.02734375,0.0022323131561279297,6017.5556640625
90.0,1,76549,0,31,303.38657818999997,63488,17.13,0.006603224,15913.252709960938,0.0001,-1.9008468709886075,-0.010731714697612915,195,0.2,0.03896484375,0.0014061331748962402,5838.244140625
306.0,1,78913,0,32,262.44562715999996,65536,15.22,0.005276871,12669.61916809082,0.0001,-1.8909891530871392,-0.006484300165902823,200,0.2,0.01484375,0.005052626132965088,6809.91455078125
90.0,1,81120,0,33,295.75474159000004,67584,17.71,0.00959237,15884.759521484375,0.0001,-1.8998017400503158,-0.008100394139182754,205,0.2,0.09169921875,0.0035602450370788574,7785.44140625
90.0,1,83372,0,34,320.07292811,69632,18.76,0.0066963807,13052.68473815918,0.0001,-1.9174063615500927,-0.0067071766214212404,210,0.2,0.07451171875,0.007279455661773682,5465.3046875
306.0,1,85669,0,35,266.52657615,71680,18.24,0.009295127,11551.3629486084,0.0001,-1.9015865355730057,-0.015209551763837226,215,0.2,0.07724609375,0.01157677173614502,5807.439453125
90.0,1,88018,0,36,282.28509934,73728,17.74,0.007112444,12592.77635498047,0.0001,-1.9138208858668804,-0.011099823896074668,220,0.2,0.06005859375,0.008743464946746826,8544.24609375
90.0,1,90324,0,37,282.66038874,75776,19.32,0.008321088,13190.012240600587,0.0001,-1.9036871053278446,-0.01056581202428788,225,0.2,0.0796875,0.0060100555419921875,7663.4716796875
186.0,1,92736,0,38,288.46419935,77824,17.24,0.0062429225,13234.931240844726,0.0001,-1.9202472157776356,-0.0055915584962349385,230,0.2,0.03603515625,0.00641787052154541,6632.6396484375
90.0,1,95036,0,39,296.71491727999995,79872,19.2,0.009129233,14214.679907226562,0.0001,-1.928727088868618,-0.006355195799551438,235,0.2,0.050390625,0.023530304431915283,4346.32763671875
186.0,1,97264,0,40,303.77122154000006,81920,18.25,0.008896886,10484.41128845215,0.0001,-1.9225619472563267,-0.01091182793607004,240,0.2,0.05048828125,0.019140958786010742,6575.24755859375
186.0,1,99469,0,41,267.68520265999996,83968,21.97,0.011095084,12033.652038574219,0.0001,-1.9320875808596611,-0.006895471751340665,245,0.2,0.11376953125,0.006107628345489502,5169.9892578125
186.0,1,101799,0,42,287.33124409,86016,19.68,0.009333272,13073.107928466798,0.0001,-1.9261605255305767,-0.012021474227367435,250,0.2,0.08447265625,0.0057083964347839355,6760.8583984375
282.0,1,104202,0,43,286.50350571999996,88064,18.29,0.008023056,12234.094729614259,0.0001,-1.9371256791055202,-0.009819636773318052,255,0.2,0.09833984375,0.018588602542877197,6219.46728515625
90.0,1,106425,0,44,293.27599997,90112,20.3,0.007047761,12343.420788574218,0.0001,-1.9366532415151596,-0.008752211404498667,260,0.2,0.03330078125,0.021992921829223633,5242.60498046875
186.0,1,108715,0,45,271.84009044000004,92160,18.72,0.006201133,12515.408227539063,0.0001,-1.927536214888096,-0.011240645055659115,265,0.2,0.04970703125,0.027553021907806396,5585.8173828125
306.0,1,111055,0,46,313.31882562999994,94208,19.35,0.009148078,12581.147518920898,0.0001,-1.9195974677801133,-0.015473381358606274,270,0.2,0.06416015625,0.011708259582519531,4503.0078125
186.0,1,113363,0,47,305.59877807,96256,18.98,0.00681203,11055.690045166015,0.0001,-1.9181254886090755,-0.011915409805078525,275,0.2,0.05703125,0.020776808261871338,6780.94287109375
186.0,1,115707,0,48,285.60885723,98304,19.68,0.008376652,10319.779898071289,0.0001,-1.9311362244188786,-0.01081285928376019,280,0.2,0.0505859375,0.023055672645568848,8856.85546875
186.0,1,118005,0,49,319.1024724199999,100352,21.31,0.0062590805,11734.33797607422,0.0001,-1.9450960911810398,-0.006338550336658954,285,0.2,0.0306640625,0.023682594299316406,5948.12744140625
186.0,1,120328,0,50,309.64313085,102400,21.58,0.007188415,8317.21240234375,0.0001,-1.942701482027769,-0.00735234678722918,290,0.2,0.02412109375,0.040383994579315186,3022.069091796875
186.0,1,122633,0,51,273.08480418,104448,24.11,0.0056502656,10262.693585205077,0.0001,-1.9373686842620372,-0.00694294516579248,295,0.2,0.03486328125,0.016119003295898438,3752.837158203125
