time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,custom/current_screen,time/time_elapsed,custom/max_height,train/entropy_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/clip_fraction,train/clip_range,train/value_loss,train/n_updates,train/policy_gradient_loss,train/loss
2048,-131.06807387000003,1,0,5.52,16,3322,5474.0,,,,,,,,,,
4096,-126.39612772000002,2,0,6.66,16,6521,5618.0,-2.2410793587565423,-0.001093149185180664,0.0001,0.011333855,0.08759765625,0.2,7772.209030151367,24,-0.026774059582385233,3891.841552734375
6144,-129.77516394,3,0,9.95,16,9544,5474.0,-2.1893602147698403,-0.0008667707443237305,0.0001,0.00981999,0.05576171875,0.2,6487.636776733399,29,-0.021638350651483052,2978.976806640625
8192,-128.31741239000002,4,0,11.79,16,12473,5474.0,-2.1196690663695335,-0.0011136531829833984,0.0001,0.009889899,0.04931640625,0.2,5570.257797241211,34,-0.01955683943233453,2544.643310546875
10240,-127.41288746000001,5,0,14.55,16,15237,5562.0,-2.0453078925609587,-0.0003490447998046875,0.0001,0.014897745,0.11650390625,0.2,4428.433366394043,39,-0.022771777992602438,2039.1331787109375
12288,-124.93712799000001,6,0,15.38,16,17888,5618.0,-1.988782201707363,-0.0003554821014404297,0.0001,0.008625075,0.06220703125,0.2,3307.004420471191,44,-0.01446061123861,1352.667724609375
14336,-132.54862007999998,7,0,20.75,16,20389,5474.0,-1.933414625376463,-0.0002129077911376953,0.0001,0.011615099,0.0880859375,0.2,2884.7033752441407,49,-0.020134347735438495,1459.231689453125
16384,-130.30273563,8,0,22.75,16,22855,5474.0,-1.8708666920661927,-0.0001875162124633789,0.0001,0.011749754,0.0703125,0.2,2291.110820007324,54,-0.014115624339319765,1191.90234375
18432,-133.65529802,9,0,27.05,16,25153,5474.0,-1.855818983912468,-0.0017766952514648438,0.0001,0.008782099,0.07099609375,0.2,1851.6947135925293,59,-0.013710687769344077,982.7498168945312
20480,-133.7848817,10,0,26.08,16,27484,5562.0,-1.8383487597107888,-4.875659942626953e-05,0.0001,0.006187554,0.04013671875,0.2,1512.4447494506835,64,-0.00816332250542473,620.0592651367188
22528,-131.46461397,11,0,30.73,16,29823,5474.0,-1.8145662009716035,-4.863739013671875e-05,0.0001,0.007489589,0.05546875,0.2,1509.9968578338624,69,-0.013019408809486776,699.0888671875
24576,-134.49274598,12,0,35.75,16,32139,5474.0,-1.8117524199187756,-4.172325134277344e-05,0.0001,0.009696463,0.06533203125,0.2,1091.294704246521,74,-0.011724364274414256,606.824951171875
26624,-137.79728372000002,13,0,32.8,16,34474,5474.0,-1.8438438430428505,-2.4437904357910156e-05,0.0001,0.0067329765,0.053125,0.2,1126.2379810333252,79,-0.003473779925843701,307.8282165527344
28672,-134.92249442000002,14,0,35.21,16,36739,5474.0,-1.8315263591706752,-0.0001628398895263672,0.0001,0.012269484,0.1015625,0.2,1058.281095123291,84,-0.009556376084219664,455.467529296875
30720,-128.90622738000002,15,0,32.54,16,38999,5474.0,-1.8712012221880048,-1.9550323486328125e-05,0.0001,0.023065982,0.18384929906542055,0.2,849.6143371011609,88,0.006066075334690999,349.9288635253906
32768,-128.77794732,16,0,26.83,16,41346,5474.0,-1.883033700984159,-6.67572021484375e-06,0.0001,0.01945397,0.09835881294964029,0.2,748.8417542821212,93,-0.0019031324283146172,417.4938659667969
