custom/max_height,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,custom/current_screen,time/total_timesteps,time/iterations,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/loss,train/learning_rate,train/explained_variance,train/approx_kl,train/n_updates,train/clip_range,train/value_loss
90.0,2.85,0,3498,-112.94177178,1,2048,1,,,,,,,,,,
90.0,2.8,0,6867,-115.05791074999999,1,4096,2,-3.3236801445484163,-0.04515562745509669,0.17861328125,5683.0771484375,0.0001,0.007413208484649658,0.015399754,5,0.2,12506.352380371094
90.0,3.6,0,10030,-106.20108055,1,6144,3,-3.2909334138035775,-0.04590905929799192,0.1853515625,5329.52685546875,0.0001,-0.015671730041503906,0.014550372,10,0.2,10842.749920654296
90.0,3.58,0,12947,-108.97204126999999,1,8192,4,-3.238034223020077,-0.04216869888768997,0.15849609375,3913.71435546875,0.0001,-0.005445599555969238,0.014130369,15,0.2,9001.913146972656
90.0,4.35,0,15814,-98.36441683,1,10240,5,-3.1765120029449463,-0.03497354247956537,0.1283203125,3934.201904296875,0.0001,-0.0008324384689331055,0.011257546,20,0.2,8004.940417480469
90.0,6.86,0,18647,-96.06122803999999,1,12288,6,-3.11697341799736,-0.03299830842297524,0.123828125,3042.185302734375,0.0001,-0.0004220008850097656,0.012578241,25,0.2,7437.075277709961
90.0,7.48,0,21561,-84.95768863999997,1,14336,7,-3.0395401015877725,-0.03447733915236313,0.1380859375,3130.64306640625,0.0001,-0.0004048347473144531,0.0128401425,30,0.2,5940.4103332519535
186.0,7.7,0,24462,-82.27618192,1,16384,8,-2.967504584789276,-0.0347268283367157,0.15400390625,2224.347412109375,0.0001,-0.000270843505859375,0.011468498,35,0.2,5322.91711730957
90.0,11.77,0,27310,-75.29239649,1,18432,9,-2.891787959635258,-0.0314551999385003,0.1419921875,1901.340087890625,0.0001,4.673004150390625e-05,0.013074599,40,0.2,4950.142596435547
90.0,12.0,0,30168,-68.44414664000001,1,20480,10,-2.8229871824383737,-0.024421104905195536,0.1109375,2335.5068359375,0.0001,0.0002403855323791504,0.011202816,45,0.2,4706.630661010742
