custom/max_height,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,custom/current_screen,rollout/ep_len_mean,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/value_loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/approx_kl,train/loss,train/learning_rate
90.0,1,3552,2048,0,-114.49410951999998,1,2.46,,,,,,,,,,
90.0,2,6902,4096,0,-110.80003478,1,3.29,0.007422685623168945,-0.04402046133182012,0.2,12417.653527832032,0.15126953125,-3.324126598238945,5,0.0149916485,5608.20458984375,0.0001
90.0,3,10084,6144,0,-110.14072635000001,1,3.7,-0.00722348690032959,-0.03769659592944663,0.2,10765.3509765625,0.140234375,-3.2913866102695466,10,0.01387332,4867.16162109375,0.0001
186.0,4,13048,8192,0,-104.16424844,1,4.9,-0.004628539085388184,-0.04618416446319316,0.2,9123.715243530274,0.1859375,-3.233798535168171,15,0.014229441,4614.896484375,0.0001
90.0,5,15914,10240,0,-99.15751969000002,1,5.8,-0.0015177726745605469,-0.0346122722607106,0.2,8088.0612121582035,0.12001953125,-3.176988053321838,20,0.01077115,3847.92431640625,0.0001
186.0,6,18774,12288,0,-88.8101739,1,7.76,-0.0008107423782348633,-0.04087088129017502,0.2,7149.655493164062,0.14677734375,-3.1044883847236635,25,0.013624587,3191.35693359375,0.0001
186.0,7,21664,14336,0,-86.95391432000001,1,8.16,-9.775161743164062e-06,-0.027177016536006703,0.2,6181.38591003418,0.10029296875,-3.0350105300545693,30,0.010473816,3231.952880859375,0.0001
90.0,8,24569,16384,0,-79.10211040000002,1,8.79,-0.00011515617370605469,-0.02841941513470374,0.2,5323.160227966308,0.09931640625,-2.9567737758159636,35,0.011225449,2371.931640625,0.0001
186.0,9,27509,18432,0,-72.71049108000001,1,10.74,-0.00031626224517822266,-0.03554197478515562,0.2,4907.678475952149,0.137890625,-2.878154292702675,40,0.011505451,2556.701171875,0.0001
186.0,10,30414,20480,0,-63.29794072999999,1,12.06,-2.6464462280273438e-05,-0.02947221593640279,0.2,4157.7193954467775,0.1107421875,-2.798975545167923,45,0.012361275,2531.4013671875,0.0001
282.0,11,33308,22528,0,-64.46808449000001,1,13.96,-0.0001558065414428711,-0.01740970496321097,0.2,3744.280567932129,0.04951171875,-2.7684066608548163,50,0.0081749335,1318.6707763671875,0.0001
90.0,12,36183,24576,0,-52.22701171999999,1,17.18,-0.00011670589447021484,-0.020819696743274108,0.2,3058.57350692749,0.10810546875,-2.7268638357520105,55,0.014478844,1654.09326171875,0.0001
90.0,13,39116,26624,0,-40.43649574999999,1,14.12,1.0371208190917969e-05,-0.01851125799585134,0.2,3564.3232872009276,0.1990234375,-2.6992881655693055,60,0.017942825,2567.70703125,0.0001
282.0,14,42054,28672,0,-30.511884159999994,1,14.81,2.2351741790771484e-05,-0.010633360565407202,0.2,3891.5152923583983,0.09375,-2.7345821082592012,65,0.011816936,3036.125,0.0001
90.0,15,44891,30720,0,-41.140347240000004,1,13.18,0.005171835422515869,-0.01345075215504039,0.2,4561.669927978515,0.0599609375,-2.7607046231627463,70,0.0073019294,1561.57373046875,0.0001
