time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,custom/current_screen,time/time_elapsed,custom/max_height,time/iterations,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/explained_variance,train/clip_fraction,train/loss,train/n_updates,train/value_loss,train/approx_kl
0,3.59,2048,-109.91999999999999,1,2933,90.0,1,,,,,,,,,,
0,5.02,4096,-108.99599999999998,1,5650,90.0,2,-2.289172478020191,-0.05543277859687805,0.2,0.0001,0.0023469924926757812,0.322265625,4513.67822265625,5,10777.301849365234,0.017603071
0,5.65,6144,-99.744,1,8288,90.0,3,-2.249576658010483,-0.04537390719051473,0.2,0.0001,-0.0025453567504882812,0.25234375,4100.11474609375,10,8852.773760986329,0.01718057
0,8.18,8192,-87.29454545,1,10873,90.0,4,-2.1968767300248144,-0.040743506245780735,0.2,0.0001,-0.0038536787033081055,0.18876953125,3321.59765625,15,6808.285641479492,0.015798587
0,10.79,10240,-87.648,1,13378,90.0,5,-2.148352374136448,-0.031169678139849565,0.2,0.0001,0.002462327480316162,0.14482421875,2674.25048828125,20,6146.326480102539,0.0133275725
0,13.31,12288,-79.764,1,15926,186.0,6,-2.0989132151007652,-0.031216781574767084,0.2,0.0001,-0.000508427619934082,0.14248046875,2372.770263671875,25,4770.231748962402,0.010673631
0,17.41,14336,-72.212,1,18555,90.0,7,-2.0356313467025755,-0.02947271239827387,0.2,0.0001,-0.0009590387344360352,0.1318359375,2221.287353515625,30,4041.3980239868165,0.010854617
0,20.81,16384,-60.34057143,1,21115,90.0,8,-1.979854118824005,-0.020188218023395165,0.2,0.0001,-0.0002472400665283203,0.060546875,1775.7508544921875,35,3522.785417175293,0.008041321
0,27.29,18432,-59.91657143,1,23637,90.0,9,-1.9454229190945624,-0.017516164580592887,0.2,0.0001,0.001477956771850586,0.08779296875,1251.3084716796875,40,3127.4854148864747,0.0091365175
0,30.17,20480,-50.02,1,26141,90.0,10,-1.896644701063633,-0.01606427666847594,0.2,0.0001,-0.0006382465362548828,0.0681640625,1553.1392822265625,45,2592.317377471924,0.008568145
0,34.18,22528,-43.342723400000004,1,28638,186.0,11,-1.8710189260542394,-0.010434099103440531,0.2,0.0001,0.005456864833831787,0.08818359375,1177.710693359375,50,2479.891909790039,0.005752758
0,35.52,24576,-54.42400000000001,1,31050,186.0,12,-1.8615582421422006,-0.010982388188131154,0.2,0.0001,-0.0021895170211791992,0.071484375,1652.98193359375,55,2416.3973602294923,0.0062346095
