time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,custom/current_screen,time/fps,custom/max_height,rollout/ep_rew_mean,train/clip_range,train/approx_kl,train/learning_rate,train/n_updates,train/entropy_loss,train/explained_variance,train/loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction
2048,4.11,2955,1,1,0,186.0,-105.71724138000002,,,,,,,,,,
4096,4.33,5769,2,1,0,90.0,-107.26812158999998,0.2,0.01573541,0.0001,5,-2.2898541405797004,0.00170820951461792,3840.916015625,-0.05151006609667093,10534.478536987304,0.31103515625
6144,5.72,8416,3,1,0,90.0,-102.26182161000001,0.2,0.01523884,0.0001,10,-2.2545047074556352,-0.0066928863525390625,4447.453125,-0.04341126022045501,8782.939666748047,0.23486328125
8192,7.74,11066,4,1,0,186.0,-94.2052499,0.2,0.013187883,0.0001,15,-2.201692634820938,-0.005119800567626953,3528.0673828125,-0.0401945537654683,7266.781405639648,0.19921875
10240,10.42,13667,5,1,0,90.0,-83.71161821999998,0.2,0.010276966,0.0001,20,-2.1419400036334992,-0.0006945133209228516,2997.593994140625,-0.03138284377055243,6556.921548461914,0.14560546875
12288,13.18,16269,6,1,0,186.0,-74.11695209,0.2,0.011771438,0.0001,25,-2.0860242664813997,-7.903575897216797e-05,2196.524658203125,-0.029428095230832695,5473.584379577636,0.1357421875
14336,15.26,18948,7,1,0,186.0,-53.15436988999999,0.2,0.009393905,0.0001,30,-2.0287334591150286,-0.0011568069458007812,2114.8857421875,-0.025466051552211866,4243.43762512207,0.0966796875
16384,19.95,21453,8,1,0,90.0,-46.801485660000004,0.2,0.006898314,0.0001,35,-1.9721416108310224,6.854534149169922e-06,2235.105224609375,-0.017345318327716085,4427.37727355957,0.04873046875
18432,24.4,23939,9,1,0,186.0,-23.72227872,0.2,0.013223235,0.0001,40,-1.938066904246807,0.0002066493034362793,2797.786865234375,-0.012651485760579817,4387.961541748047,0.1349609375
20480,26.19,26594,10,1,0,90.0,-19.091099420000003,0.2,0.015649127,0.0001,45,-1.9342850297689438,0.0026114583015441895,2572.172607421875,-0.00943404293502681,4827.472044372558,0.1322265625
22528,23.05,29287,11,1,0,90.0,-37.024463510000004,0.2,0.008706004,0.0001,50,-1.8967918314039707,0.016745924949645996,3087.60107421875,-0.009203499177237973,4574.488442993164,0.042578125
24576,24.97,32024,12,1,0,90.0,-30.372795439999994,0.2,0.006483279,0.0001,55,-1.910976378619671,0.013012826442718506,1523.196533203125,-0.00600170451507438,3527.3690101623533,0.015625
26624,27.27,34718,13,1,0,306.0,-20.96741769,0.2,0.004113357,0.0001,60,-1.8835524506866932,0.03326272964477539,1867.3546142578125,-0.010256651943200268,3574.3268661499023,0.00234375
28672,22.84,37364,14,1,0,186.0,-13.72415669,0.2,0.006224583,0.0001,65,-1.906407182663679,0.024380803108215332,2849.568359375,-0.005387101160522434,4403.2505882263185,0.03046875
30720,25.35,40060,15,1,0,186.0,0.13980831999999999,0.2,0.0044952026,0.0001,70,-1.884818921983242,0.0383571982383728,2399.93408203125,-0.006528088470804505,4250.838417816162,0.0033203125
32768,22.73,42739,16,1,0,186.0,29.69329179,0.2,0.0012126553,0.0001,75,-1.9123929835855962,0.053237855434417725,2960.788818359375,-0.002784532817895524,5239.30725402832,0.001171875
