time/iterations,time/fps,time/time_elapsed,custom/max_height,rollout/ep_len_mean,time/total_timesteps,custom/current_screen,rollout/ep_rew_mean,train/loss,train/approx_kl,train/explained_variance,train/n_updates,train/value_loss,train/learning_rate,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss
1,0,2711,90.0,22.406593406593405,2048,1,-7.495092131868132,,,,,,,,,,
2,0,5404,90.0,23.64,4096,1,32.015767759999996,2091.608642578125,0.00077389984,0.04034292697906494,85,5411.972369384765,0.0001,0.2,0.0,-0.004066654099733569,-1.8771588020026684
3,0,8114,186.0,25.38,6144,1,35.33837701,3622.670166015625,0.00082867884,0.04531872272491455,90,7343.938949584961,0.0001,0.2,9.765625e-05,-0.0033036610635463147,-1.8870495349168777
4,0,10741,90.0,22.94,8192,1,58.59866607999999,3970.388916015625,0.0010701213,0.04735839366912842,95,7373.039999389648,0.0001,0.2,0.0,-0.0035869648621883244,-1.86556790843606
5,0,13357,90.0,23.19,10240,1,50.89380610000001,4299.0078125,0.00041213538,0.055613934993743896,100,9332.510076904297,0.0001,0.2,0.0,-0.002548810458392836,-1.8697886541485786
6,0,16047,90.0,26.46,12288,1,70.31224535999999,5632.794921875,0.0009175455,0.0288621187210083,105,8423.622262573243,0.0001,0.2,0.0,-0.0039552882546558974,-1.864671091735363
7,0,18776,186.0,21.93,14336,1,60.217125429999996,6253.76708984375,0.00017393415,0.028551578521728516,110,10080.470538330079,0.0001,0.2,0.0,-0.0019209955731639638,-1.8493810176849366
8,0,21420,186.0,23.23,16384,1,60.65934048,4628.3984375,0.0023558745,0.04920393228530884,115,9560.419705200195,0.0001,0.2,0.0,-0.002694909540878143,-1.8665922664105892
9,0,24107,306.0,23.84,18432,1,74.06597418999999,5087.75830078125,0.00068679603,0.04185354709625244,120,9996.040979003907,0.0001,0.2,9.765625e-05,-0.003367097006412223,-1.8769295327365398
10,0,26765,90.0,24.03,20480,1,84.30599347999998,3633.8505859375,0.000879457,0.03980201482772827,125,10647.85148010254,0.0001,0.2,0.0,-0.004117089006467722,-1.8630849786102772
11,0,29533,186.0,21.71,22528,1,100.24940563,5007.57373046875,0.0005729664,0.058985233306884766,130,11243.439321899414,0.0001,0.2,0.0,-0.002691608371969778,-1.8529802218079567
12,0,32294,186.0,22.17,24576,1,96.58579064000001,5980.55078125,0.00087606773,0.0482637882232666,135,12092.140032958985,0.0001,0.2,0.00078125,-0.004509832538315095,-1.83705447986722
13,0,35053,186.0,20.95,26624,1,114.41778964,4328.5048828125,0.00064754195,0.033720195293426514,140,11608.989309692382,0.0001,0.2,9.765625e-05,-0.0024335735914064573,-1.8405788652598858
14,0,37825,186.0,20.54,28672,1,115.9977801,7604.32373046875,0.0010390913,0.03566479682922363,145,14178.435717773438,0.0001,0.2,0.00166015625,-0.003215074507170357,-1.8313448786735536
15,0,40627,186.0,20.04,30720,1,91.92543436999999,6528.3857421875,0.001008365,0.029869556427001953,150,12972.006494140625,0.0001,0.2,0.0,-0.003792176389833912,-1.8209142878651619
16,0,43279,90.0,20.49,32768,1,129.47096639,5838.18115234375,0.0007314911,0.02766638994216919,155,12403.771160888671,0.0001,0.2,0.0001953125,-0.0029548557853559033,-1.819267165660858
17,0,46049,90.0,20.74,34816,1,192.82028565000005,8015.2197265625,0.00227502,0.02376866340637207,160,14456.662530517578,0.0001,0.2,0.0009765625,-0.005946901271818206,-1.809964170306921
18,0,48897,186.0,16.52,36864,1,127.44773605999998,6088.66845703125,0.0015216385,0.025898218154907227,165,15201.566119384766,0.0001,0.2,0.00078125,-0.00419010978366714,-1.7762907706201077
19,0,51603,306.0,20.87,38912,1,202.23167554,6278.43994140625,0.0013166096,0.007965624332427979,170,15619.266882324218,0.0001,0.2,0.00126953125,-0.005734769123955629,-1.7485648393630981
20,0,54406,186.0,17.46,40960,1,190.07801532999997,5451.02001953125,0.0027093934,0.03273165225982666,175,14407.819799804687,0.0001,0.2,0.00439453125,-0.004776280361693352,-1.7407586231827736
21,0,57189,186.0,21.91,43008,1,206.31448353,7478.5927734375,0.0016593183,0.014447689056396484,180,16334.965936279297,0.0001,0.2,0.0,-0.006581345564336516,-1.716267605870962
22,0,60055,282.0,19.08,45056,1,224.52515855,7693.67431640625,0.0024187232,0.020325303077697754,185,14156.193426513672,0.0001,0.2,0.00458984375,-0.006687341030919924,-1.7103973373770713
23,0,62848,90.0,15.93,47104,1,233.04391463999997,7028.23876953125,0.0039425204,0.012349188327789307,190,15824.336083984375,0.0001,0.2,0.01494140625,-0.008059885536204093,-1.6932985983788966
24,0,65760,90.0,16.88,49152,1,270.53051849,7655.44189453125,0.004657506,0.0041811466217041016,195,17863.101330566406,0.0001,0.2,0.01982421875,-0.011617445581941865,-1.6488294273614883
25,0,68583,282.0,16.61,51200,1,242.68618257999998,7126.810546875,0.004321006,0.014878332614898682,200,17287.633111572264,0.0001,0.2,0.011328125,-0.0060786000191001225,-1.625465129315853
26,0,71461,186.0,15.15,53248,1,300.77716895,8038.68896484375,0.008532332,0.0008743405342102051,205,17860.623138427734,0.0001,0.2,0.0609375,-0.018526431890495586,-1.5904242090880871
27,0,74387,90.0,14.79,55296,1,320.9146271700001,8070.9140625,0.006121918,0.001109778881072998,210,16853.709838867188,0.0001,0.2,0.04560546875,-0.015051337980548852,-1.50287167429924
