time/iterations,custom/max_height,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,custom/current_screen,time/total_timesteps,train/approx_kl,train/loss,train/learning_rate,train/entropy_loss,train/value_loss,train/clip_range,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/clip_fraction
1,90.0,2.62,3547,0,-154.02399999999997,1,2048,,,,,,,,,,
2,90.0,2.67,6993,0,-152.32199999999995,1,4096,0.011664478,9501.490234375,0.0001,-3.326020027697086,22060.425231933594,0.2,-0.0374328407284338,5,-0.0024150609970092773,0.14248046875
3,90.0,3.21,10166,0,-146.49599999999998,1,6144,0.0128734615,9129.587890625,0.0001,-3.3004576936364174,19066.406872558593,0.2,-0.044775796367321166,10,-0.016138911247253418,0.17421875
4,90.0,3.58,13151,0,-147.38199999999995,1,8192,0.014238019,8442.4365234375,0.0001,-3.254104179143906,17029.753527832032,0.2,-0.041280597582226616,15,-0.006183505058288574,0.148046875
5,90.0,4.57,16038,0,-146.06199999999995,1,10240,0.0148661,7143.06298828125,0.0001,-3.1809278175234796,14978.502044677734,0.2,-0.04129147562198341,20,-0.0016127824783325195,0.167578125
6,90.0,6.62,18839,0,-140.14599999999996,1,12288,0.011858201,6610.77294921875,0.0001,-3.1098678767681123,13719.992449951173,0.2,-0.03540777181624435,25,-0.0011001825332641602,0.127734375
7,90.0,8.67,21602,0,-138.878,1,14336,0.011625848,5590.07568359375,0.0001,-3.0191460877656935,11911.809814453125,0.2,-0.034067893921746875,30,-0.0002598762512207031,0.13310546875
8,90.0,9.24,24411,0,-136.02399999999997,1,16384,0.010372296,5258.1494140625,0.0001,-2.93466537296772,9930.04799194336,0.2,-0.023575045354664325,35,-0.000278472900390625,0.07216796875
9,90.0,11.81,27279,0,-133.53199999999995,1,18432,0.009419145,4270.08837890625,0.0001,-2.8463083446025848,9194.745852661134,0.2,-0.022236608806997536,40,-7.271766662597656e-06,0.0595703125
10,186.0,11.97,30183,0,-131.38999999999996,1,20480,0.008749534,4055.47607421875,0.0001,-2.7582628443837165,7731.201956176757,0.2,-0.017442037200089543,45,-0.00010013580322265625,0.04814453125
