custom/current_screen,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,custom/max_height,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/clip_range,train/loss,train/n_updates,train/entropy_loss,train/clip_fraction,train/learning_rate,train/approx_kl
1,3515,0,2048,2.48,1,-153.37599999999998,90.0,,,,,,,,,,
1,6857,0,4096,2.84,2,-148.99599999999995,90.0,-0.03049553381279111,21497.781628417968,-0.0006042718887329102,0.2,9538.0791015625,5,-3.3269754096865656,0.09814453125,0.0001,0.01118846
1,10039,0,6144,3.25,3,-148.62399999999994,90.0,-0.03788545882271137,18306.77247314453,-0.018932580947875977,0.2,9639.802734375,10,-3.3011665672063826,0.12158203125,0.0001,0.011909777
1,13051,0,8192,4.08,4,-143.90799999999996,186.0,-0.03204421226400882,17312.722198486328,-0.002675175666809082,0.2,9985.1220703125,15,-3.2593933790922165,0.0892578125,0.0001,0.010114647
1,15960,0,10240,4.94,5,-141.724,186.0,-0.037399075634311885,15041.463970947265,-0.0018665790557861328,0.2,6732.087890625,20,-3.1989506512880324,0.14658203125,0.0001,0.011853895
1,18797,0,12288,7.23,6,-132.12399999999997,90.0,-0.04280178461340256,13447.206573486328,-0.0010657310485839844,0.2,6058.08740234375,25,-3.1171685487031935,0.1705078125,0.0001,0.014412032
1,21613,0,14336,7.28,7,-123.43422221999995,186.0,-0.03279930746066384,12039.790502929687,0.0005486607551574707,0.2,4902.27978515625,30,-3.035635580122471,0.12099609375,0.0001,0.011157727
1,24425,0,16384,7.96,8,-130.59999999999997,90.0,-0.024714557605329902,10748.476721191406,0.0012532472610473633,0.2,4642.35009765625,35,-2.957288807630539,0.08251953125,0.0001,0.008533217
1,27276,0,18432,10.77,9,-126.61599999999999,186.0,-0.02334755923366174,9339.234243774414,-0.0002690553665161133,0.2,5083.287109375,40,-2.873868760466576,0.087890625,0.0001,0.010852579
1,30100,0,20480,13.17,10,-116.13835896999996,90.0,-0.022504634625511243,7684.010073852539,-0.00016033649444580078,0.2,4502.8955078125,45,-2.7917466148734094,0.06162109375,0.0001,0.008494711
