rollout/ep_rew_mean,time/fps,custom/current_screen,time/total_timesteps,time/iterations,rollout/ep_len_mean,custom/max_height,time/time_elapsed,train/approx_kl,train/loss,train/clip_fraction,train/learning_rate,train/value_loss,train/n_updates,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/explained_variance
-116.17599999999999,0,1,2048,1,15.68,90.0,2866,,,,,,,,,,
-115.65199999999997,0,1,4096,2,18.4,186.0,5821,0.006547937,2785.103759765625,0.04208984375,0.0001,5938.381475830078,55,0.2,-2.670949649810791,-0.013985373970353977,-0.0003216266632080078
-111.124,0,1,6144,3,25.11,90.0,8618,0.009097672,2675.616455078125,0.05849609375,0.0001,4982.217909240722,60,0.2,-2.6187482088804246,-0.01617078536946792,-0.00024199485778808594
-112.28399999999996,0,1,8192,4,26.26,90.0,11474,0.008961814,1699.39306640625,0.03681640625,0.0001,3649.1665466308596,65,0.2,-2.578460857272148,-0.013142081175465137,-2.4080276489257812e-05
-109.728,0,1,10240,5,26.97,90.0,14386,0.006437454,1640.3153076171875,0.0333984375,0.0001,3427.607844543457,70,0.2,-2.547611230611801,-0.015232918081164826,-3.5762786865234375e-05
-110.84799999999996,0,1,12288,6,26.99,186.0,17242,0.007857675,1442.895751953125,0.04384765625,0.0001,3403.5741798400877,75,0.2,-2.5112949803471567,-0.014087479139561765,-2.7418136596679688e-05
-107.67999999999996,0,1,14336,7,29.79,186.0,20134,0.009256266,1155.177490234375,0.0771484375,0.0001,2968.8357414245606,80,0.2,-2.5006822481751443,-0.01562604719947558,-3.421306610107422e-05
-102.15199999999999,0,1,16384,8,36.14,90.0,23029,0.010205001,1022.885009765625,0.0802734375,0.0001,2554.2072319030763,85,0.2,-2.4890844255685804,-0.017165672100964,-1.5139579772949219e-05
-107.85999999999999,0,1,18432,9,35.35,90.0,25745,0.013575756,1178.566162109375,0.15537109375,0.0001,2349.3720825195314,90,0.2,-2.541494807600975,-0.013674267736496404,-7.748603820800781e-06
-110.30399999999997,0,1,20480,10,36.63,90.0,28458,0.011357094,828.3763427734375,0.09267578125,0.0001,2572.85119934082,95,0.2,-2.531821921467781,-0.011432776047149673,-8.344650268554688e-06
-108.728,0,1,22528,11,38.39,90.0,31161,0.007801096,1168.2816162109375,0.10537109375,0.0001,2662.4330181121827,100,0.2,-2.5270934879779814,-0.006955507045495324,-2.7894973754882812e-05
-106.47199999999997,0,1,24576,12,42.27,90.0,33910,0.027170077,1281.6451416015625,0.13303571428571428,0.0001,1858.9109479631697,102,0.2,-2.477295242037092,0.003408810735813209,4.589557647705078e-06
