rollout/ep_len_mean,custom/current_screen,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,custom/max_height,time/iterations,time/fps,train/loss,train/n_updates,train/clip_fraction,train/learning_rate,train/entropy_loss,train/approx_kl,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/clip_range
2.35,1,-175.44742054000002,3572,2048,90.0,1,0,,,,,,,,,,
2.37,1,-164.41739718,6919,4096,186.0,2,0,13024.6162109375,5,0.09794921875,0.0001,-3.326685157418251,0.01197936,27764.223876953125,0.0022153258323669434,-0.036273391169379464,0.2
2.66,1,-163.2019984,10209,6144,90.0,3,0,12137.587890625,10,0.1130859375,0.0001,-3.2995490446686744,0.011076668,23634.812622070312,-0.01628565788269043,-0.03807603224995546,0.2
3.69,1,-166.25077877000004,13238,8192,186.0,4,0,10868.029296875,15,0.1212890625,0.0001,-3.258427533507347,0.011501975,22123.360485839843,-0.006187319755554199,-0.03747719673847314,0.2
4.25,1,-157.52306074999996,16132,10240,90.0,5,0,9114.83203125,20,0.09365234375,0.0001,-3.202086527645588,0.012269918,19628.82258300781,-0.0021889209747314453,-0.0347822169191204,0.2
6.31,1,-159.38275858,18959,12288,90.0,6,0,7647.31884765625,25,0.1025390625,0.0001,-3.122609855234623,0.012987388,16887.221411132814,-0.0008682012557983398,-0.032748874864773826,0.2
8.43,1,-149.83134576,21685,14336,90.0,7,0,8107.12451171875,30,0.0607421875,0.0001,-3.055107609927654,0.009257109,15787.503674316406,-0.0007870197296142578,-0.024249466918990947,0.2
9.41,1,-149.46329179999998,24428,16384,90.0,8,0,7289.62109375,35,0.10146484375,0.0001,-2.966447688639164,0.011694929,13628.64346923828,-0.0007821321487426758,-0.02898781617404893,0.2
10.77,1,-149.46391373999998,27206,18432,186.0,9,0,5057.4306640625,40,0.05546875,0.0001,-2.879198279976845,0.0094067715,11697.73145751953,-0.00055694580078125,-0.022609977453248574,0.2
13.89,1,-148.59786502,30050,20480,186.0,10,0,5723.6083984375,45,0.052734375,0.0001,-2.7986680239439012,0.009811525,10583.786935424805,-0.0001747608184814453,-0.02144012192438822,0.2
14.82,1,-146.75583461,33019,22528,186.0,11,0,3276.28564453125,50,0.04814453125,0.0001,-2.7085858032107355,0.009622309,8997.81891784668,-0.00010788440704345703,-0.018759240192594007,0.2
20.87,1,-139.47222467999998,36016,24576,90.0,12,0,4576.314453125,55,0.05478515625,0.0001,-2.627300998568535,0.010335315,8497.296325683594,-5.9604644775390625e-05,-0.019007931953819935,0.2
24.07,1,-138.59082291,38869,26624,186.0,13,0,3316.7119140625,60,0.02197265625,0.0001,-2.581908704340458,0.008025044,6345.248455810547,-8.881092071533203e-05,-0.011095940211089329,0.2
22.7,1,-151.55876395,41759,28672,90.0,14,0,2873.115478515625,65,0.04619140625,0.0001,-2.5558328688144685,0.008004958,4811.035884094238,-5.435943603515625e-05,-0.012539856022340246,0.2
24.13,1,-148.95145417,44595,30720,186.0,15,0,2585.807861328125,70,0.04951171875,0.0001,-2.531217636168003,0.0107483,6031.247787475586,-5.042552947998047e-05,-0.01209366254042834,0.2
