time/total_timesteps,time/fps,time/iterations,rollout/ep_rew_mean,custom/max_height,custom/current_screen,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/value_loss,train/n_updates,train/learning_rate,train/approx_kl,train/entropy_loss,train/loss,train/clip_fraction
2048,0,1,5.900134659999999,442.0,2,2490,13.45,,,,,,,,,,
4096,0,2,-23.61314512,626.0,2,5011,12.4,0.12048625946044922,-0.0018354926636675374,0.2,7793.956188964844,255,0.0001,0.0004646618,-1.8723609037697315,3669.902099609375,0.00166015625
6144,0,3,14.061638240000002,522.0,2,7442,15.86,0.19248133897781372,-0.0051571183023042975,0.2,4582.792124938965,260,0.0001,0.001610327,-1.8639899060130118,2110.388427734375,0.012109375
8192,0,4,42.91848726,650.0,2,9859,15.57,0.12123727798461914,-0.0024806509725749494,0.2,7365.402969360352,265,0.0001,0.0008747214,-1.8859981648623942,3758.6982421875,0.00244140625
10240,0,5,39.74005033,538.0,2,12320,14.58,0.11225736141204834,-0.002658592537045479,0.2,9408.950735473632,270,0.0001,0.0010146274,-1.8982301630079745,4842.255859375,0.0025390625
12288,0,6,8.371203249999999,442.0,2,14680,18.19,0.08922147750854492,-0.0038274662772892045,0.2,9738.282583618164,275,0.0001,0.001866207,-1.8903781801462174,4503.9072265625,0.0099609375
14336,0,7,35.428071849999995,626.0,2,17060,16.0,0.07890129089355469,-0.0021819528279593214,0.2,6535.97155456543,280,0.0001,0.0013590497,-1.9358993723988533,2280.941650390625,0.00927734375
16384,0,8,58.2248401,490.0,2,19424,18.39,0.07061153650283813,-0.0036914989454089665,0.2,9656.90443725586,285,0.0001,0.002133526,-1.9262043789029122,3951.87646484375,0.01083984375
18432,0,9,17.497155919999997,490.0,2,21855,15.12,0.04260075092315674,-0.0032498732529347763,0.2,10282.20546875,290,0.0001,0.0013043437,-1.9134879760444163,7298.728515625,0.003515625
20480,0,10,34.13699486,490.0,2,24211,16.04,0.08742541074752808,-0.005161912442417815,0.2,8913.481466674804,295,0.0001,0.0024102624,-1.906545477360487,5196.54541015625,0.0205078125
22528,0,11,56.972935959999994,650.0,2,26559,16.2,0.07616591453552246,-0.002613281879166607,0.2,10302.179919433594,300,0.0001,0.0012305144,-1.9103207997977734,7260.69140625,0.00556640625
24576,0,12,45.12680093000001,442.0,2,28881,16.19,0.06188642978668213,-0.0013479255547281354,0.2,10882.004827880859,305,0.0001,0.0008054805,-1.9031914971768855,3919.739013671875,0.001953125
26624,0,13,9.5558257,522.0,2,31263,13.73,0.03718084096908569,-0.0047591696726158265,0.2,10858.238391113282,310,0.0001,0.001592362,-1.9019387356936932,5001.40869140625,0.01123046875
28672,0,14,27.394321690000005,490.0,2,33652,14.31,0.04989039897918701,-0.0056084644893417135,0.2,11494.033462524414,315,0.0001,0.0018848802,-1.8983820676803589,5614.38525390625,0.01494140625
