time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,custom/current_screen,custom/max_height,rollout/ep_rew_mean,time/fps,train/clip_range,train/clip_fraction,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/loss,train/n_updates,train/approx_kl
1,16.13,2089,2048,3,1034.0,88.41351293000001,0,,,,,,,,,,
2,17.6,4185,4096,3,1034.0,72.92916701,0,0.2,0.003515625,-1.3425471805036069,0.0001,12829.39761352539,0.02870488166809082,-0.002616286653210409,5812.63623046875,479,0.0009913902
3,18.29,6256,6144,3,786.0,48.80017627,0,0.2,0.00546875,-1.3820225805044175,0.0001,10800.051406860352,0.05611652135848999,-0.0019184273143764586,5009.42333984375,484,0.0020109345
4,17.76,8341,8192,3,786.0,85.96704072,0,0.2,0.01123046875,-1.3987250730395318,0.0001,10871.792654418945,0.003448009490966797,-0.0025185884267557414,4536.490234375,489,0.001069047
5,17.46,10406,10240,3,890.0,64.91854597999999,0,0.2,0.0111328125,-1.377888386696577,0.0001,11956.88935546875,0.007444858551025391,-0.0006913564575370401,5554.32421875,494,0.0015761099
6,16.6,12465,12288,3,786.0,63.87826373,0,0.2,0.01787109375,-1.3770031757652759,0.0001,11912.795837402344,0.021400511264801025,-0.0039852346235420555,4515.1748046875,499,0.0019960897
7,16.51,14609,14336,3,1034.0,56.25009062999999,0,0.2,0.008984375,-1.3543613716959952,0.0001,12154.674908447265,0.0297510027885437,-0.0025981462880736218,5542.09521484375,504,0.0015146537
8,18.24,16679,16384,3,890.0,96.88618586000001,0,0.2,0.00380859375,-1.3690373614430427,0.0001,11924.14976196289,0.021359622478485107,-0.0014004397497046738,5416.3203125,509,0.000552957
9,19.3,18729,18432,3,890.0,90.34274208999999,0,0.2,0.02470703125,-1.3837741568684578,0.0001,10220.930792236328,0.033975958824157715,-0.0027096999605419115,4363.85693359375,514,0.0023671756
10,16.88,20793,20480,3,1034.0,64.53696238,0,0.2,0.0078125,-1.3948321633040905,0.0001,10736.87329711914,0.017704367637634277,-0.0013268820912344381,6281.283203125,519,0.00091475045
11,17.69,22843,22528,3,1034.0,61.21100624999999,0,0.2,0.01845703125,-1.3978934928774833,0.0001,11074.171090698243,0.028455793857574463,-0.002643312116560992,5969.88037109375,524,0.001404126
12,22.3,24901,24576,3,890.0,95.93915953,0,0.2,0.008203125,-1.3921755224466323,0.0001,11494.808895874023,0.023398280143737793,-0.001559625324443914,5847.3447265625,529,0.0009516794
13,20.48,26886,26624,3,1034.0,49.806062250000004,0,0.2,0.0126953125,-1.4181982286274433,0.0001,9380.653268432618,0.006529867649078369,-0.0004187093465588987,4304.87841796875,534,0.0015721878
14,23.14,28916,28672,3,786.0,102.60129596000003,0,0.2,0.00322265625,-1.3969653412699699,0.0001,10543.808584594726,0.02347618341445923,-0.0016174271324416623,5576.91455078125,539,0.0007041909
15,16.79,30984,30720,3,890.0,94.70156754,0,0.2,0.01455078125,-1.4041271455585957,0.0001,9384.340689086914,0.04119151830673218,-0.002162002888508141,4638.3759765625,544,0.0016225596
16,18.51,33042,32768,3,786.0,94.23134436000002,0,0.2,0.01806640625,-1.3381979383528233,0.0001,10722.659561157227,0.03043055534362793,-0.0016782500111730768,5025.02490234375,549,0.002833433
17,21.52,35034,34816,3,786.0,131.70308861,0,0.2,0.02578125,-1.3691067054867745,0.0001,10542.143460083007,0.020026206970214844,-0.0030367731145815925,5118.90966796875,554,0.0018535764
18,18.45,37079,36864,3,1034.0,62.88452091000001,0,0.2,0.02158203125,-1.3953514106571674,0.0001,8829.51149597168,0.02162909507751465,-0.003250268619740382,4817.9736328125,559,0.0025953138
19,18.66,39108,38912,3,786.0,133.10786117,0,0.2,0.01201171875,-1.3897352077066898,0.0001,11373.308419799805,0.012533128261566162,-0.0037019584560766816,6131.12158203125,564,0.0015522826
20,21.2,41123,40960,3,890.0,84.98218421999998,0,0.2,0.008203125,-1.3607422538101672,0.0001,10246.147229003906,0.010029017925262451,0.00024430646444670854,4886.03173828125,569,0.0006252619
21,23.44,43189,43008,3,890.0,76.29530466,0,0.2,0.015234375,-1.4121536917984485,0.0001,9303.68642578125,0.024710118770599365,-0.0009365623089252039,4543.45849609375,574,0.0014449842
22,20.73,45195,45056,3,786.0,84.27148255,0,0.2,0.018359375,-1.4433922529220582,0.0001,9388.406658935546,0.029621243476867676,-0.002294880451518111,5159.90966796875,579,0.0020663135
23,21.23,47262,47104,3,1034.0,114.55680565,0,0.2,0.01220703125,-1.4130037702620029,0.0001,10323.916448974609,0.020091772079467773,-0.00226144626212772,3613.097412109375,584,0.0012133352
