rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,custom/max_height,time/iterations,time/fps,custom/current_screen,train/value_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss
19.49,2101,119.97383081,2048,1034.0,1,0,3,,,,,,,,,,
19.17,4182,96.54107043,4096,890.0,2,0,3,8165.6107421875,0.002736541,0.0001,0.037610650062561035,689,0.2,2508.023193359375,-1.367950365692377,0.0234375,-0.0020113198464969174
17.5,6308,114.3741269,6144,786.0,3,0,3,10266.563626098632,0.0009698586,0.0001,0.023219823837280273,694,0.2,5550.865234375,-1.3707411207258702,0.00869140625,-0.0018935194180812686
21.37,8416,136.9152718,8192,890.0,4,0,3,11230.4251953125,0.0012783053,0.0001,0.03592395782470703,699,0.2,5682.13427734375,-1.3533721908926963,0.0099609375,-0.0013877094148483592
17.64,10524,88.62740029000003,10240,1034.0,5,0,3,8223.50487060547,0.0014950245,0.0001,0.026277542114257812,704,0.2,3984.852783203125,-1.392355002462864,0.00771484375,-0.0009112143772654236
17.53,12618,88.82663771,12288,890.0,6,0,3,10920.91235961914,0.0010057433,0.0001,0.019814372062683105,709,0.2,5720.67626953125,-1.3459035560488701,0.00556640625,-0.0027858254965394736
19.05,14716,159.03803279,14336,786.0,7,0,3,11340.616168212891,0.0010455643,0.0001,0.04796212911605835,714,0.2,5981.84375,-1.3589453749358653,0.01220703125,-0.000990589483990334
18.84,16821,116.14892846000001,16384,786.0,8,0,3,7694.848516845703,0.0026693635,0.0001,0.028255939483642578,719,0.2,4597.0068359375,-1.368100119382143,0.01669921875,2.8794383979402483e-05
19.06,18922,123.71335497999999,18432,1034.0,9,0,3,10398.17464904785,0.0014644199,0.0001,0.01699066162109375,724,0.2,5612.072265625,-1.376237840205431,0.0169921875,-0.00178637321369024
18.99,21041,129.45746732,20480,1034.0,10,0,3,8739.013232421876,0.0019565606,0.0001,0.04222738742828369,729,0.2,4823.91064453125,-1.3962317809462548,0.01484375,-0.0002812128062942065
18.3,23179,135.31912142000002,22528,890.0,11,0,3,9170.280868530273,0.0012441219,0.0001,0.04284089803695679,734,0.2,4324.05712890625,-1.372676070779562,0.01533203125,-0.0009590221045073122
18.51,25339,123.86642678,24576,1034.0,12,0,3,9637.982907104491,0.00225817,0.0001,0.020341813564300537,739,0.2,4493.41943359375,-1.365396112203598,0.01669921875,0.000324421952245757
21.45,27428,149.78745621999997,26624,1034.0,13,0,3,9909.354611206054,0.0014107871,0.0001,0.03199583292007446,744,0.2,4991.50146484375,-1.3409591026604175,0.01767578125,-0.0015072573776706121
17.99,29531,115.65080615,28672,1034.0,14,0,3,8198.475811767577,0.0012576594,0.0001,0.0058100223541259766,749,0.2,4541.8349609375,-1.409949143230915,0.01083984375,-0.0001330949700786732
20.41,31624,143.66734597,30720,786.0,15,0,3,9607.463421630859,0.001396697,0.0001,0.031996965408325195,754,0.2,4204.8623046875,-1.3635244511067868,0.01357421875,-0.0018945694988360628
22.89,33760,101.81268412000001,32768,1034.0,16,0,3,8373.791207885743,0.0012576645,0.0001,0.047226786613464355,759,0.2,6931.08154296875,-1.3760933622717857,0.01044921875,-0.0012901994457934051
20.58,35891,89.84103311000003,34816,1034.0,17,0,3,7229.3780166625975,0.003453584,0.0001,0.03265184164047241,764,0.2,3538.19970703125,-1.4364703364670277,0.0306640625,-0.0036141291464446114
22.78,37965,135.94400184,36864,890.0,18,0,3,9291.648934936524,0.0009809729,0.0001,0.035483598709106445,769,0.2,4607.37841796875,-1.4127333335578443,0.0076171875,-0.0009426117787370459
21.44,40073,126.96235113999997,38912,890.0,19,0,3,8374.28770904541,0.0013795419,0.0001,0.009257614612579346,774,0.2,4753.21728515625,-1.4093155406415463,0.00859375,-0.0007503584871301428
20.21,42171,135.59851273,40960,1034.0,20,0,3,8146.03169555664,0.0025463775,0.0001,0.024842262268066406,779,0.2,3716.268798828125,-1.3853005059063435,0.0232421875,-0.003454838870675303
21.11,44241,134.39384314999998,43008,1034.0,21,0,3,8848.73283996582,0.0020180685,0.0001,0.03220629692077637,784,0.2,3955.020263671875,-1.390834341943264,0.02421875,-0.002747154817916453
18.86,46354,141.67452831,45056,786.0,22,0,3,8366.082919311524,0.0010053728,0.0001,0.030431926250457764,789,0.2,2340.874267578125,-1.3845885381102563,0.02373046875,0.001999856690235902
21.27,48440,99.51504137000002,47104,890.0,23,0,3,9015.919058227539,0.0020216892,0.0001,0.03685426712036133,794,0.2,3939.148193359375,-1.3526295244693756,0.02998046875,-0.004539729477255605
23.29,50425,131.66538860999998,49152,1034.0,24,0,3,8772.295782470703,0.0012256872,0.0001,0.029796183109283447,799,0.2,3479.913818359375,-1.4174807481467724,0.016015625,-0.0006482000680989586
24.51,52456,165.88762025,51200,1034.0,25,0,3,8017.751583862305,0.0012759453,0.0001,0.03174012899398804,804,0.2,3795.095947265625,-1.4435173019766807,0.01181640625,-0.0011822869215393438
