rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,custom/current_screen,rollout/ep_rew_mean,time/iterations,custom/max_height,train/clip_range,train/explained_variance,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/loss,train/n_updates,train/value_loss,train/approx_kl,train/entropy_loss
2.09,2048,0,5625,36,-114.72641122,1,12658.0,,,,,,,,,,
2.34,4096,0,10825,36,-114.50690731,2,12722.0,0.2,0.003660261631011963,0.31640625,0.0001,-0.054215720656793566,5376.77490234375,5,13272.52149658203,0.01982952,-2.7595868960022925
3.07,6144,0,15316,36,-110.55392658999999,3,12658.0,0.2,-0.004994988441467285,0.2529296875,0.0001,-0.05560837839730084,5079.1552734375,10,10843.366137695313,0.015816059,-2.7179534792900086
3.06,8192,0,19445,36,-98.11024532999996,4,12658.0,0.2,-0.0032601356506347656,0.2328125,0.0001,-0.05424366189981811,4229.1142578125,15,9826.52126159668,0.013970306,-2.6545732602477075
2.81,10240,0,23668,36,-94.27940544999997,5,12658.0,0.2,-0.0013275146484375,0.16044921875,0.0001,-0.04707341405446641,4084.913330078125,20,8454.363095092773,0.011881222,-2.5845623180270194
3.27,12288,0,27497,36,-87.75063030999999,6,12658.0,0.2,-0.0018357038497924805,0.1150390625,0.0001,-0.04042277589906007,4022.216796875,25,7561.232907104492,0.012617415,-2.5261184573173523
3.58,14336,0,31593,36,-80.33308368,7,12722.0,0.2,-0.0007976293563842773,0.06630859375,0.0001,-0.02724201249075122,3343.721435546875,30,6126.401989746094,0.010221412,-2.480627191066742
3.36,16384,0,35736,36,-81.86671692,8,12658.0,0.2,-0.0009348392486572266,0.0701171875,0.0001,-0.030661544570466503,3248.81787109375,35,6011.394149780273,0.011113665,-2.4362785279750825
3.63,18432,0,39761,36,-70.92827402,9,12722.0,0.2,-0.0005621910095214844,0.0451171875,0.0001,-0.02438522766751703,2676.530517578125,40,5593.567347717285,0.008952633,-2.3801776349544523
3.34,20480,0,43857,36,-79.83363711999999,10,12658.0,0.2,-0.0005282163619995117,0.03935546875,0.0001,-0.005212825103080831,2534.013916015625,45,4784.398544311523,0.00944563,-2.3972600534558297
3.97,22528,0,47764,36,-68.52755884999999,11,12714.0,0.2,-0.0003820657730102539,0.016015625,0.0001,-0.010867806067108177,1728.9259033203125,50,4469.990971374512,0.006418605,-2.3752603635191916
3.99,24576,0,51504,36,-74.44696499,12,12658.0,0.2,-0.00023102760314941406,0.12548828125,0.0001,-0.010050880251219496,1999.1781005859375,55,3894.697785949707,0.012659611,-2.3544475749135017
3.92,26624,0,55428,36,-72.20847738,13,12714.0,0.2,-0.00014925003051757812,0.0595703125,0.0001,-0.011392772302497179,1447.9876708984375,60,3406.2805572509765,0.011867525,-2.3358548045158387
