custom/max_height,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/iterations,custom/current_screen,rollout/ep_len_mean,time/fps,train/n_updates,train/learning_rate,train/loss,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/value_loss,train/clip_fraction
786.0,-148.37213703,2048,3456,1,3,2.64,0,,,,,,,,,,
786.0,-149.29504328999997,4096,6755,2,3,2.63,0,5,0.0001,7465.51708984375,0.2,-2.0627342908560826,-0.05205022809127358,0.025275439,-0.004350900650024414,15950.051870748299,0.2648809523809524
786.0,-146.89008567,6144,9649,3,3,3.33,0,10,0.0001,6520.291015625,0.2,-2.0201500236988066,-0.03516429299488664,0.014996335,0.005662441253662109,13506.334381103516,0.14345703125
786.0,-147.17137718,8192,12599,4,3,4.3,0,15,0.0001,5995.9736328125,0.2,-1.9656483076512814,-0.03610474188462831,0.013837418,0.0003324151039123535,11653.996466064453,0.15439453125
786.0,-145.59872265,10240,15249,5,3,4.79,0,20,0.0001,4946.20703125,0.2,-1.9219856075942516,-0.029714377474738284,0.009320652,7.69495964050293e-05,10455.12973022461,0.111328125
786.0,-143.28689703,12288,17682,6,3,6.21,0,25,0.0001,4242.13134765625,0.2,-1.878132776170969,-0.024708045009174385,0.008603834,0.00019210577011108398,9323.986810302735,0.068359375
786.0,-144.20949737,14336,20063,7,3,5.87,0,30,0.0001,3106.1044921875,0.2,-1.8178794421255589,-0.021306332666426897,0.008817983,0.00010287761688232422,7722.557537841797,0.0685546875
786.0,-140.30831627999999,16384,22308,8,3,7.08,0,35,0.0001,3591.82275390625,0.2,-1.7448193237185479,-0.022287501982646063,0.008839291,-1.800060272216797e-05,6852.279370117188,0.05166015625
786.0,-138.81090086,18432,24424,9,3,9.99,0,40,0.0001,3243.484130859375,0.2,-1.697308262437582,-0.01738652039784938,0.008214143,-0.0010538101196289062,5980.695236206055,0.0216796875
890.0,-137.10093958999997,20480,26375,10,3,11.01,0,45,0.0001,2098.764404296875,0.2,-1.6364076673984527,-0.021385616873158143,0.0077329567,-0.00030481815338134766,4572.1847366333,0.04375
890.0,-133.49875585,22528,28232,11,3,15.87,0,50,0.0001,1972.1434326171875,0.2,-1.6003443323075772,-0.01729232855432201,0.009515597,-3.8504600524902344e-05,3499.940383911133,0.0763671875
890.0,-131.20061599999997,24576,29999,12,3,19.33,0,55,0.0001,1103.3717041015625,0.2,-1.5993968829512597,-0.01540676455188077,0.0040294738,-0.00031495094299316406,2801.607384490967,0.05068359375
786.0,-129.57917331000002,26624,31874,13,3,20.09,0,60,0.0001,883.0486450195312,0.2,-1.5738103933632375,-0.015152088884497062,0.009762631,-0.0008586645126342773,2256.7980827331544,0.0646484375
1034.0,-120.89871081000001,28672,33570,14,3,26.74,0,65,0.0001,791.31494140625,0.2,-1.5612530380487442,-0.014022014901274815,0.009941434,0.000508725643157959,2281.744551849365,0.0984375
786.0,-123.39242096,30720,35131,15,3,32.31,0,69,0.0001,998.5780029296875,0.2,-1.559020634711258,-0.005412437153730806,0.010300075,-0.00030410289764404297,2167.6311092827264,0.09030511811023623
890.0,-127.80545761000002,32768,36751,16,3,35.52,0,72,0.0001,1026.30126953125,0.2,-1.5932499766349792,-0.004553191923863582,0.01454446,0.0003821849822998047,1637.1464926229942,0.11697635135135136
890.0,-131.30665398000002,34816,38451,17,3,37.16,0,77,0.0001,667.6741943359375,0.2,-1.5791334323585033,-0.004639945435337722,0.01389145,-0.0008558034896850586,1551.617914581299,0.1173828125
890.0,-132.92914559000002,36864,40350,18,3,42.58,0,81,0.0001,1179.18017578125,0.2,-1.5758321363970917,-0.0036542486873859504,0.016550299,-0.00023353099822998047,1551.2725116081958,0.14298349056603774
890.0,-141.55363032000002,38912,42067,19,3,46.1,0,86,0.0001,453.6026306152344,0.2,-1.5481629849998815,-0.0021694886029525926,0.011130931,-9.59634780883789e-05,1126.1703852756768,0.09166003184713375
890.0,-138.66519108,40960,43959,20,3,42.23,0,91,0.0001,699.1870727539062,0.2,-1.5592322549680724,0.0006326703307130475,0.015546683,-3.314018249511719e-05,1017.9645483754847,0.04562043795620438
890.0,-135.61573024,43008,45882,21,3,44.24,0,93,0.0001,1380.302734375,0.2,-1.5659335553646088,-0.0012506862486978726,0.013370301,7.319450378417969e-05,1493.5278865269252,0.06891741071428571
786.0,-125.41460379,45056,47592,22,3,43.46,0,94,0.0001,428.09149169921875,0.2,-1.6336765885353088,0.011883744271472096,0.01392494,-0.00010144710540771484,879.7802619934082,0.2763671875
890.0,-118.64085467999999,47104,49414,23,3,44.09,0,99,0.0001,1032.33447265625,0.2,-1.6558994859457017,-0.0016592948173638432,0.010882918,2.1278858184814453e-05,1694.7857511520385,0.0923828125
786.0,-117.35397259,49152,51156,24,3,44.7,0,104,0.0001,272.6641540527344,0.2,-1.6475720047950744,-0.005361539623118005,0.007955803,0.002787947654724121,1202.1131837844848,0.0798828125
890.0,-116.1459771,51200,52788,25,3,45.74,0,109,0.0001,300.9254150390625,0.2,-1.6686481304466725,-0.006385838286951185,0.0071702995,0.002478301525115967,1598.291109275818,0.02060546875
1034.0,-120.25767279999998,53248,54430,26,3,45.24,0,114,0.0001,459.3289489746094,0.2,-1.6749541394412517,-0.00489897042280063,0.005143988,0.006223440170288086,1611.1027238845825,0.0109375
890.0,-124.57254202999998,55296,56009,27,3,46.08,0,119,0.0001,444.998779296875,0.2,-1.6631075583398343,-0.0052867207763483744,0.003718119,0.018917083740234375,1142.0042768478393,0.03212890625
890.0,-129.13886735,57344,57612,28,3,48.19,0,124,0.0001,453.0591735839844,0.2,-1.6619097888469696,-0.0046803013974567875,0.006301794,0.017174482345581055,1236.443301963806,0.0470703125
890.0,-131.62229343,59392,59178,29,3,48.86,1,129,0.0001,524.9322509765625,0.2,-1.6713456846773624,-0.0031664786220062524,0.008129646,0.02193528413772583,846.0205537796021,0.01962890625
890.0,-128.30163197,61440,60729,30,3,51.5,1,134,0.0001,511.04290771484375,0.2,-1.6507868573069573,-0.006205286479962524,0.00916531,0.027332186698913574,1211.605718231201,0.0486328125
890.0,-121.85322608,63488,62265,31,3,54.48,1,139,0.0001,1090.8001708984375,0.2,-1.6548893384635448,-0.0027731611786293796,0.004565591,0.0160064697265625,1305.136346244812,0.01103515625
786.0,-112.70054726999999,65536,63798,32,3,57.14,1,144,0.0001,1028.7998046875,0.2,-1.662500011920929,-0.00255161049135495,0.005433761,0.007842063903808594,1708.4762636184691,0.01142578125
890.0,-103.55210868,67584,65312,33,3,58.25,1,149,0.0001,461.32659912109375,0.2,-1.6702930502593518,-0.0021480889117810875,0.00124508,0.025527238845825195,2041.2529935836792,0.00849609375
890.0,-99.67513375000003,69632,66822,34,3,58.46,1,154,0.0001,1900.7249755859375,0.2,-1.6720371037721633,-0.0017001674947096034,0.0023350026,0.04365593194961548,2485.2395984649656,0.0021484375
890.0,-104.75620943,71680,68404,35,3,53.19,1,159,0.0001,972.558837890625,0.2,-1.6768742240965366,-0.0025406282453332095,0.0015309642,0.047760963439941406,2045.125274848938,0.0037109375
786.0,-110.42810551000001,73728,69884,36,3,50.26,1,164,0.0001,826.7230224609375,0.2,-1.6601021744310855,-0.0013665114296600223,0.0045568002,0.058467090129852295,1755.146954345703,0.02529296875
890.0,-97.17864615,75776,71440,37,3,46.34,1,169,0.0001,2126.526123046875,0.2,-1.6661527536809444,-0.0018444174143951385,0.0014855881,0.05323004722595215,2516.0640518188475,0.00654296875
890.0,-92.93537137,77824,73052,38,3,50.52,1,174,0.0001,1627.82275390625,0.2,-1.6729549698531627,-0.0033915751497261225,0.0026481785,0.04311853647232056,2466.827996444702,0.00234375
890.0,-84.06301845000002,79872,74710,39,3,46.15,1,179,0.0001,832.0321655273438,0.2,-1.674435868114233,-0.0012900647692731582,0.0012303987,0.05135113000869751,2438.1043453216553,0.00419921875
890.0,-85.67796849,81920,76298,40,3,47.95,1,184,0.0001,1205.3944091796875,0.2,-1.651497758924961,-0.003205874454579316,0.0012856785,0.05590587854385376,3533.1791145324705,0.00244140625
890.0,-110.93962449,83968,77914,41,3,47.44,1,189,0.0001,612.2549438476562,0.2,-1.6529037661850452,-0.0030858723985147662,0.002710245,0.002467334270477295,2115.8740467071534,0.00341796875
890.0,-94.36602038000001,86016,79617,42,3,43.8,1,194,0.0001,858.2568969726562,0.2,-1.6543526522815228,-0.003300245926948264,0.003345319,0.01815783977508545,1337.274328994751,0.00732421875
890.0,-74.61105873000001,88064,81269,43,3,43.93,1,199,0.0001,2049.497802734375,0.2,-1.6157352969050407,-0.0007809961651219055,0.0003106326,0.02720111608505249,3902.030019378662,0.00029296875
786.0,-73.14016533,90112,82879,44,3,47.13,1,204,0.0001,2349.09716796875,0.2,-1.6325490422546864,-0.001742430531885475,0.00063759554,0.040007054805755615,2673.2075130462645,0.00068359375
786.0,-61.91366376,92160,84471,45,3,44.24,1,209,0.0001,1958.71875,0.2,-1.6495827674865722,-0.003809710415953305,0.0015899483,0.06809765100479126,3636.008046722412,0.00283203125
890.0,-59.637362329999995,94208,86136,46,3,43.47,1,214,0.0001,1896.8548583984375,0.2,-1.628766619414091,-0.0025230529048712925,0.0012714633,0.0221632719039917,3609.399866485596,0.00126953125
