time/iterations,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,custom/max_height,custom/current_screen,train/loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/clip_range,train/approx_kl,train/n_updates
1,1,1592,2048,-75.09687712962965,37.851851851851855,890.0,3,,,,,,,,,,
2,1,3192,4096,-70.05231970707071,40.686868686868685,890.0,3,2724.54931640625,0.001953125,-1.6330027043819428,0.0001,-0.0012028139244648628,3315.5559394836428,0.029803097248077393,0.2,0.0019006991,224
3,1,4872,6144,-50.76612265,33.38,890.0,3,1398.7032470703125,0.00283203125,-1.6525491334497928,0.0001,-0.0024166905233869327,3492.021374511719,0.037731826305389404,0.2,0.0012506545,229
4,1,6586,8192,-50.60455464999999,28.29,890.0,3,2503.34814453125,0.004296875,-1.5747912421822547,0.0001,-0.003012076661980245,6362.465791320801,0.04159337282180786,0.2,0.0016981494,234
5,1,8409,10240,-63.667853640000004,26.83,890.0,3,3724.52099609375,0.00380859375,-1.5979671157896518,0.0001,-0.0027931891730986536,6018.812219238282,0.016037821769714355,0.2,0.0017680952,239
6,1,10169,12288,-1.621982340000003,29.08,890.0,3,4019.166748046875,0.00263671875,-1.5693950407207011,0.0001,-0.0014290361927123741,6333.657711791992,0.01060110330581665,0.2,0.001462271,244
7,1,11943,14336,-3.658108340000001,27.99,786.0,3,3410.503662109375,0.02548828125,-1.5858466073870658,0.0001,-0.005898362364678178,7775.678384399414,0.033631980419158936,0.2,0.0049941866,249
8,1,13823,16384,-41.85234878999999,18.3,786.0,3,3570.6220703125,0.004296875,-1.6068987786769866,0.0001,-0.0025834608866716737,7506.656112670898,0.021770954132080078,0.2,0.0024734926,254
9,1,15660,18432,-2.561702750000003,20.79,890.0,3,5348.58642578125,0.008203125,-1.5259588666260242,0.0001,-0.005213421455118805,9210.776538085938,0.010064840316772461,0.2,0.0020584455,259
10,1,17423,20480,-36.79333575,26.29,890.0,3,7333.29345703125,0.0083984375,-1.5469308100640773,0.0001,-0.0032334380608517676,9432.780981445312,0.03784281015396118,0.2,0.0018412874,264
11,1,19241,22528,-33.07602965,26.64,890.0,3,2216.6083984375,0.00087890625,-1.5900080993771553,0.0001,-0.002000907127512619,6410.372311401367,0.025514304637908936,0.2,0.00068826356,269
12,1,21132,24576,-18.925891540000006,21.29,890.0,3,2944.16943359375,0.00400390625,-1.5462398871779441,0.0001,-0.0015289691335055977,7372.244625854492,0.01371312141418457,0.2,0.0013364025,274
13,1,23023,26624,-19.020185259999998,20.92,890.0,3,4547.814453125,0.0021484375,-1.5051174685359001,0.0001,-0.0014060885150684044,9231.032635498046,0.039286673069000244,0.2,0.0006947922,279
