time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,custom/max_height,custom/current_screen,train/n_updates,train/clip_fraction,train/approx_kl,train/loss,train/value_loss,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/entropy_loss
1,3769,2.27,0,2048,-149.21640656,2738.0,8,,,,,,,,,,
2,7294,2.49,0,4096,-145.10078464,2610.0,8,5,0.41123046875,0.018752921,7546.31201171875,16591.609643554686,0.0001,-0.0006458759307861328,-0.0749152323580347,0.2,-2.4702739670872687
3,10504,3.55,0,6144,-142.40809437,2610.0,8,10,0.34345703125,0.017825788,6587.90966796875,13847.739434814453,0.0001,-0.006594300270080566,-0.07838066591939423,0.2,-2.4261361703276636
4,13596,4.31,0,8192,-141.01058863,2610.0,8,15,0.23486328125,0.0147897955,5438.7490234375,11974.336450195313,0.0001,-0.0020918846130371094,-0.06462160519731697,0.2,-2.367486499249935
5,16546,4.4,0,10240,-140.51376851,2610.0,8,20,0.160546875,0.010220587,5017.49755859375,10178.023712158203,0.0001,-0.0014809370040893555,-0.05411017866572365,0.2,-2.3117170676589014
6,19406,7.49,0,12288,-132.87549554999998,2818.0,8,25,0.12490234375,0.011795107,4086.81640625,8973.902716064453,0.0001,-0.0011432170867919922,-0.04868862818693742,0.2,-2.2403977796435357
7,22189,8.59,0,14336,-126.24955664999997,2770.0,8,30,0.06953125,0.007583167,2501.2587890625,6830.860327148437,0.0001,-0.0014110803604125977,-0.03299700290663168,0.2,-2.2208518743515016
8,24934,9.88,0,16384,-127.25425274000001,2738.0,8,35,0.05185546875,0.008522999,2788.8076171875,6210.520007324219,0.0001,-0.0006394386291503906,-0.029780650191241875,0.2,-2.1918030723929407
9,27594,10.43,0,18432,-124.22557096000003,2698.0,8,40,0.02265625,0.007871203,2070.696533203125,5093.088410949707,0.0001,-0.000469207763671875,-0.021888558694627136,0.2,-2.171371042728424
10,30162,13.49,0,20480,-119.23575865999999,2738.0,8,45,0.02958984375,0.006441987,2158.527587890625,4253.866700744629,0.0001,-0.0002815723419189453,-0.01504960838938132,0.2,-2.1633305951952932
11,32696,16.57,0,22528,-120.34319977,2698.0,8,50,0.02509765625,0.0063318666,1231.0062255859375,3553.6054656982424,0.0001,-0.00018274784088134766,-0.014375827068579383,0.2,-2.1590845093131064
12,35329,13.96,0,24576,-117.04217701999998,2698.0,8,55,0.0787109375,0.01115353,1220.9443359375,2991.283038330078,0.0001,-0.0001767873764038086,-0.02060874392045662,0.2,-2.16772505491972
13,37787,21.26,0,26624,-117.32927293,2610.0,8,60,0.0689453125,0.009191928,978.5233764648438,2700.0495315551757,0.0001,-3.886222839355469e-05,-0.014277486523496918,0.2,-2.1489068806171416
14,40227,19.12,0,28672,-117.70724867000001,2770.0,8,65,0.0970703125,0.011753444,937.3861694335938,2114.1999855041504,0.0001,-6.389617919921875e-05,-0.009299519937485456,0.2,-2.195107379555702
15,42505,26.29,0,30720,-117.18427815000001,2738.0,8,70,0.04677734375,0.00805904,967.422119140625,1958.6484798431397,0.0001,1.5914440155029297e-05,-0.010371242332621478,0.2,-2.1700371325016024
