time/time_elapsed,time/iterations,custom/current_screen,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,custom/max_height,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/explained_variance,train/loss,train/n_updates,train/clip_range,train/value_loss
2316,1,8,0,2048,19.82,-118.06066484000002,2770.0,,,,,,,,,,
4571,2,8,0,4096,25.37,-118.86151968000001,2770.0,0.009314017,-0.014313180526369252,0.0001,0.0490234375,-2.1540307357907293,-2.6106834411621094e-05,983.0430297851562,80,0.2,1518.9520599365235
6725,3,8,0,6144,25.75,-117.27391426,2698.0,0.010351271,-0.005826158192940056,0.0001,0.1044921875,-2.1781263962388038,-6.198883056640625e-06,687.5844116210938,85,0.2,1252.9598651885985
8768,4,8,0,8192,28.85,-120.92381055000001,2738.0,0.028183239,-0.003223532067881968,0.0001,0.11760496183206107,-2.1727045401362064,-8.463859558105469e-06,525.8888549804688,90,0.2,972.9957116978769
10706,5,8,0,10240,31.4,-120.77743678,2610.0,0.026431084,-0.009251643516094858,0.0001,0.05212309160305344,-2.1174605875524857,1.6391277313232422e-05,544.9866333007812,95,0.2,1095.6660459096195
12747,6,8,0,12288,30.4,-116.99277261000002,2770.0,0.020767642,-0.00411912697101278,0.0001,0.0765625,-2.076470082146781,-5.0067901611328125e-06,461.1539306640625,98,0.2,958.274605015346
14846,7,8,0,14336,27.87,-115.51790692000003,2698.0,0.010754594,-0.0013333588954992591,0.0001,0.1359375,-2.108945591747761,-1.811981201171875e-05,421.1960754394531,103,0.2,938.1287254333496
17072,8,8,0,16384,27.37,-115.84884738000001,2770.0,0.0140907215,-0.005060907371807843,0.0001,0.083984375,-2.156367984414101,0.008499324321746826,421.28338623046875,108,0.2,868.9271957397461
19250,9,8,0,18432,29.72,-116.46213638,2770.0,0.011207806,-0.00847388380789198,0.0001,0.06513671875,-2.1402925461530686,0.024844884872436523,336.41168212890625,113,0.2,800.8272861480713
21415,10,8,0,20480,28.86,-116.11959728000002,2770.0,0.0103687905,-0.011279759847093373,0.0001,0.0529296875,-2.1647549465298654,0.034435927867889404,318.04486083984375,118,0.2,695.321344947815
23595,11,8,0,22528,27.26,-115.57691829,2698.0,0.0069350633,-0.003892599623941351,0.0001,0.01552734375,-2.1574610859155654,0.09168672561645508,401.2984313964844,123,0.2,714.9855476379395
25811,12,8,0,24576,29.48,-116.77115767000001,2770.0,0.011877493,-0.01358253110665828,0.0001,0.084375,-2.156618006527424,0.1521444320678711,430.8177795410156,128,0.2,627.235542678833
27993,13,8,0,26624,31.64,-115.66905191000002,2818.0,0.008733537,-0.015508333125035278,0.0001,0.0314453125,-2.1392081514000894,0.1880807876586914,319.2972412109375,133,0.2,536.3478019714355
30227,14,8,0,28672,36.24,-117.22869271000002,2698.0,0.009557785,-0.014249817983363755,0.0001,0.04326171875,-2.144253286719322,0.1829325556755066,275.1520080566406,138,0.2,591.8665800094604
32411,15,8,0,30720,35.15,-116.31586639,2738.0,0.010649949,-0.0085277546022553,0.0001,0.081640625,-2.150692544877529,0.2610226273536682,259.0789794921875,143,0.2,489.8570722579956
