custom/current_screen,time/iterations,time/time_elapsed,custom/max_height,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/approx_kl,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/loss,train/entropy_loss,train/learning_rate,train/value_loss
8,1,3946,2738.0,2048,2.2,-148.84804143000002,0,,,,,,,,,,
8,2,7280,2610.0,4096,2.73,-144.14015959,0,0.020286292,0.2,0.494140625,-0.08153484391514212,5,-0.001028299331665039,7551.83935546875,-2.4681863680481912,0.0001,16709.653778076172
8,3,10472,2770.0,6144,3.64,-143.58226203,0,0.01825051,0.2,0.3568359375,-0.06603491481218952,10,0.001929938793182373,6259.8623046875,-2.426602827012539,0.0001,13090.545166015625
8,4,13437,2738.0,8192,3.69,-143.00733672,0,0.015855223,0.2,0.31083984375,-0.06442172121023759,15,-0.0011268854141235352,5705.1083984375,-2.363111861050129,0.0001,11860.803649902344
8,5,16236,2610.0,10240,6.68,-130.80295976,0,0.014325229,0.2,0.24091796875,-0.058228974402300085,20,-5.8770179748535156e-05,4462.80029296875,-2.2900232493877413,0.0001,9861.102178955078
8,6,18886,2698.0,12288,7.88,-133.96731091,0,0.013240254,0.2,0.15986328125,-0.045010000135516745,25,-0.0012537240982055664,3900.408203125,-2.2139810398221016,0.0001,7784.312582397461
8,7,21533,2610.0,14336,11.92,-125.95538998999999,0,0.014929503,0.2,0.17060546875,-0.040867362660355865,30,-0.0006299018859863281,3357.49267578125,-2.134875310957432,0.0001,6728.31294555664
8,8,24110,2698.0,16384,13.87,-119.74277331000003,0,0.011188014,0.2,0.10419921875,-0.030039635114371778,35,-0.0006071329116821289,2572.688232421875,-2.1009672805666924,0.0001,5204.225192260742
8,9,26580,2698.0,18432,13.96,-120.79789274000001,0,0.009888984,0.2,0.0708984375,-0.02201003148802556,40,-0.0005451440811157227,2055.17626953125,-2.071908988058567,0.0001,4251.938116455078
8,10,28990,2698.0,20480,18.77,-114.75607676999999,0,0.008048419,0.2,0.0689453125,-0.021913626781315542,45,-0.0001825094223022461,1744.7288818359375,-2.0310863099992273,0.0001,3698.6054611206055
8,11,31320,2738.0,22528,23.6,-115.35638744000003,0,0.0086987475,0.2,0.06435546875,-0.0170262159750564,50,-0.00010132789611816406,1594.81884765625,-2.006658910214901,0.0001,2875.8968757629395
8,12,33598,2698.0,24576,22.66,-111.60742618000002,0,0.009199888,0.2,0.06416015625,-0.013209956450737081,55,-9.620189666748047e-05,1251.663818359375,-2.012903214246035,0.0001,2327.345016479492
