Start session - 5/17/2026 6:19PM
154.50,-301.27,179.00,-302.00,2,0.0333;154.50,-301.27|158.00,-300.80|161.50,-300.59|165.00,-300.63|168.50,-300.93|172.00,-301.49|175.50,-302.30
210.50,-301.27,235.00,-302.00,2,0.0333;210.50,-301.27|214.00,-300.80|217.50,-300.59|221.00,-300.63|224.50,-300.93|228.00,-301.49|231.50,-302.30
266.50,-301.51,287.50,-302.00,1,0.0167;266.50,-301.51|270.00,-301.29|273.50,-301.31|277.00,-301.60|280.50,-302.14|284.00,-302.94
168.00,-300.79,206.50,-302.00,4,0.0667;168.00,-300.79|171.50,-299.83|175.00,-299.13|178.50,-298.69|182.00,-298.50|185.50,-298.57|189.00,-298.90|192.50,-299.49|196.00,-300.33|199.50,-301.43|203.00,-302.79
210.00,-300.79,248.50,-302.00,4,0.0667;210.00,-300.79|213.50,-299.83|217.00,-299.13|220.50,-298.69|224.00,-298.50|227.50,-298.57|231.00,-298.90|234.50,-299.49|238.00,-300.33|241.50,-301.43|245.00,-302.79
252.00,-300.54,294.00,-302.00,5,0.0833;252.00,-300.54|255.50,-299.34|259.00,-298.40|262.50,-297.71|266.00,-297.29|269.50,-297.11|273.00,-297.20|276.50,-297.54|280.00,-298.14|283.50,-299.00|287.00,-300.11|290.50,-301.49
191.00,-300.79,229.50,-302.00,4,0.0667;191.00,-300.79|194.50,-299.83|198.00,-299.13|201.50,-298.69|205.00,-298.50|208.50,-298.57|212.00,-298.90|215.50,-299.49|219.00,-300.33|222.50,-301.43|226.00,-302.79
233.00,-301.03,264.50,-302.00,3,0.0500;233.00,-301.03|236.50,-300.31|240.00,-299.86|243.50,-299.66|247.00,-299.71|250.50,-300.03|254.00,-300.60|257.50,-301.43|261.00,-302.51
244.00,-300.06,300.00,-302.00,7,0.1167;244.00,-300.06|247.50,-298.37|251.00,-296.94|254.50,-295.77|258.00,-294.86|261.50,-294.20|265.00,-293.80|268.50,-293.66|272.00,-293.77|275.50,-294.14|279.00,-294.77|282.50,-295.66|286.00,-296.80|289.50,-298.20|293.00,-299.86|296.50,-301.77
165.50,-300.06,221.50,-302.00,7,0.1167;165.50,-300.06|169.00,-298.37|172.50,-296.94|176.00,-295.77|179.50,-294.86|183.00,-294.20|186.50,-293.80|190.00,-293.66|193.50,-293.77|197.00,-294.14|200.50,-294.77|204.00,-295.66|207.50,-296.80|211.00,-298.20|214.50,-299.86|218.00,-301.77
193.50,-300.30,242.50,-302.00,6,0.1000;193.50,-300.30|197.00,-298.86|200.50,-297.67|204.00,-296.74|207.50,-296.07|211.00,-295.66|214.50,-295.50|218.00,-295.60|221.50,-295.96|225.00,-296.57|228.50,-297.44|232.00,-298.57|235.50,-299.96|239.00,-301.60
168.00,-299.57,238.00,-302.00,9,0.1500;168.00,-299.57|171.50,-297.40|175.00,-295.49|178.50,-293.83|182.00,-292.43|185.50,-291.29|189.00,-290.40|192.50,-289.77|196.00,-289.40|199.50,-289.29|203.00,-289.43|206.50,-289.83|210.00,-290.49|213.50,-291.40|217.00,-292.57|220.50,-294.00|224.00,-295.69|227.50,-297.63|231.00,-299.83|234.50,-302.29
